IRC Token,Amount,No. of Transactions
sICX,5267588.493048262,5492
bnUSD,3850595.582833338,4495
BALN,618290.1334953583,2596
OMM,2212129.3192482586,1582
METX,5472223.784182711,1351
GBET,1733404.3321722338,1251
CFT,8094589.733608875,897
IUSDC,519286.113853,667
USDS,431349.775180365,484
FIN,18838.73364955947,407
IWIN,999.3276999999999,338
oICX,671954.2451552659,199
finICX,340098.8471155715,128
obnUSD,402252.7233360048,115
oIUSDC,120958.780765,90
oOMM,30326.35258721708,87
TAP,834599.7983511531,76
IUSDT,20989.127561,58
dbnUSD,186221.94208848284,54
dIUSDC,32909.368873,54
UP,4046.77354507146,40
oUSDS,105850.34439380435,30
oBALN,9162.038449950336,23
IAM,2267.1710737509748,21
LDX,218455.0,16
dBALN,1067.650032337959,8
dUSDS,138.33357555573568,7
HGC,44000.0,2
uTAP,0.4743350830980026,1
