IRC Token,Amount,No. of Transactions
bnUSD,12669979.521044225,8115
BALN,494773.46966802195,6325
sICX,18582963.129132573,5340
IAM,19367.154203219645,1992
PGT,3000.3353072120563,1159
LDX,213172.8125,725
UP,59.39592518175394,344
TAP,1622422.3010497827,161
ACT,4701.0,155
SEED,432.44242899999995,88
SSX,20137.066666666666,25
METX,526009.8662988293,17
HGC,15250.0,3
uMETX,1110.1276941728395,2
uSEED,1.1533940652700002e-05,2
uUP,39.14450201046632,2
IETH,0.976824,2
uTAP,3524.211150189361,1
SPORTS,50000.0,1
