to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,0.0675,54,unknown_hx,0,0,unknown_hx
cxae3034235540b924dfcc1b45836c293dcc82bfb7,5.401964787499998,51,ICON USD Coin,462,9,ICON USD Coin
cx5d86e0aa6d4cca09eb9d20ead1fc425b28d5b9eb,0.8357821124999988,49,Karma Custom Bond (Balanced),98,0,Balanced
cxcaef4255ec5cb784594655fa5ff62ce09a4f8dfa,0.38668349999999996,49,peek_3,49,0,peek
cx5b5a03cb525a1845d0af3a872d525b18a810acb0,1.0147554499999982,48,btp-0x38.bsc-BTCB,191,3,btp-0x38.bsc-BTCB
cx9fda786d3e7965ed9dc01321c85026653d6a5ff4,0.6966907499999982,48,"ICONbet
 Jungle Jackpot",128,96,ICONbet
hx133323c2e990994816b548a9e7eb080a5eac8031,0.0525,42,unknown_hx,0,0,unknown_hx
cx384018e03aa8b739472c7a0645b70df97550e2c2,0.113301312499999,35,GangstaBet,35,0,GangstaBet
cx841f29ec6ce98b527d49a275e87d427627f1afe5,3.6941831374999987,34,OMM Delegation,0,0,Omm
cx23a91ee3dd290486a9113a6a42429825d813de53,1.0058590874999989,33,BTP Message Center,63,40,BTP Message Center
cx43e2eec79eb76293c298f2b17aec06097be606e0,0.556929762499999,30,balanced_staking,83,0,Balanced
cxd1f08a2967de6374f52408396bfe2fe8183b2800,5.687831687499998,29,CODE METAL CODE Token,268,6,CODE METAL CODE Token
cxc83f6eaf7e123f656657ebac3b09bc7a38e32314,3.8276206999999984,28,Code Metal Rewards Distribution,1046,0,Code Metal Rewards Distribution
hxa390d24fdcba68515b492ffc553192802706a121,0.03375,27,bitvavo_hot,0,0,bitvavo
hxd9fb974459fe46eb9d5a7c438f17ae6e75c0f2d1,0.03375,27,huobi,0,0,huobi
cx44250a12074799e26fdeee75648ae47e2cc84219,0.6119457499999993,27,balanced_governance,13,0,Balanced
hx6b91c8dea3114de74ecfa85908b875778c2b599c,0.0325,26,unknown_hx,0,0,unknown_hx
hx6d14b2b77a9e73c5d5804d43c7e3c3416648ae3d,0.03125,25,bithumb_3,0,0,bithumb
hx528b8367fd6eb4f91c40b9ebb124ca0eea153117,0.03125,25,unknown_hx,0,0,unknown_hx
cx32d5b6c3eff488b058feff88acec824abe7ed8ca,2.5964784999999995,25,Inanis Invictus VOID Token,127,5,Inanis
hx85532472e789802a943bd34a8aeb86668bc23265,0.0275,22,unkEx_c1,0,0,unkEx_c
cx369a5f4ce4f4648dfc96ba0c8229be0693b4eca2,0.7009533374999981,22,Metanyx,62,2,Metanyx
cx2d86ce51600803e187ce769129d1f6442bcefb5b,0.1498202124999994,22,CraftStaked,42,0,Craft
hxa527f96d8b988a31083167f368105fc0f2ab1143,0.02625,21,binance_us,0,0,binance
hx2a06af7d12564d94ebe9fd2bfc0e87ffdeaf7c1a,0.02625,21,unknown_hx,0,0,unknown_hx
cx288d13e1b63563459a2ac6179f237711f6851cb5,0.3267832874999996,21,btp-0x38.bsc-ETH,74,1,btp-0x38.bsc-ETH
hx294c5d0699615fc8d92abfe464a2601612d11bf7,0.025,20,funnel_1,0,0,funnel_1
hx0817b72a02173b4cdb6132a667965d04c2a59a75,0.025,20,unknown_hx,0,0,unknown_hx
hx76948ccd4e07437bf7073b395b8109e0c8c162c4,0.025,20,unknown_hx,0,0,unknown_hx
cx7e7851253fcde669a0b9d9cf55db5146d619ac7b,0.0448530624999998,20,CRI10X_Token_V2,20,0,CRI10X_Token_V2
hxd829ed48badfe09adacee7cc93bce965b3caccc5,0.025,20,unknown_hx,0,0,unknown_hx
