delegator,week,how_many_prep_voted,raffle_tickets
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-07,100,10
hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-07,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-07,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-07,100,10
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hxfba1d468956f06d3bd09b05762c374a88f8b4d5c,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hx5ca7bf0204fe5a074ee9fc8eef5f1379f4ba2ca5,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hxf9ded7784b54f15cbdf265e05bb339fe3124bf5c,2021-07,99,9
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hx114049660809114582bfc83f66833560544bf877,2021-07,89,8
hxa27e0324a109159acc918c845e792f1ca58a13e9,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hx8cd42bdd4d43f0df5c652ae6c15d695a39e059b7,2021-07,77,7
hx9c57fef4b5282df2897381f41385a4b011d994c8,2021-07,77,7
hx9c57fef4b5282df2897381f41385a4b011d994c8,2021-07,77,7
hx9c57fef4b5282df2897381f41385a4b011d994c8,2021-07,77,7
hx9c57fef4b5282df2897381f41385a4b011d994c8,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hx8cd42bdd4d43f0df5c652ae6c15d695a39e059b7,2021-07,77,7
hx8cd42bdd4d43f0df5c652ae6c15d695a39e059b7,2021-07,77,7
hx8e668003439f2c9cb6a0bea0964b6f7caaf45738,2021-07,77,7
hx8e668003439f2c9cb6a0bea0964b6f7caaf45738,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hx8cd42bdd4d43f0df5c652ae6c15d695a39e059b7,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hx5ec425851e7f636c62f0271098ae90244af4d535,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hxa3888012842cc68a0527bcf3730ce09a6ac0c424,2021-07,77,7
hxa000265b6f0ba5bb9bb0fc1cf1e1d8f19b112005,2021-07,77,7
