IRC Token,Amount,No. of Transactions
bnUSD,13353625.901132012,11661
sICX,21360541.104714863,9146
BALN,2707745.450425172,3490
OMM,5252810.617275121,2498
IUSDC,3728948.255202,1590
USDS,1054461.539951501,1243
GBET,1189416.8500936904,1019
METX,15369702.877383616,763
CFT,9766056.511478221,515
oICX,1746386.6718550087,265
obnUSD,796661.9935591313,162
oIUSDC,1018160.012541,146
UP,16.451125162221892,103
oOMM,59774.09408526006,102
dbnUSD,533721.0383431837,100
oUSDS,155091.2254804387,98
dIUSDC,289351.625099,95
TAP,5761149.021975137,95
dUSDS,133714.58223574847,53
oBALN,291157.05510515784,41
IUSDT,303.075199,32
IAM,5448.909096967301,10
OWT,60.5,8
LDX,5250.0,6
finICX,83.80840123339098,4
dBALN,6131.636249094279,3
SEED,118.499617,2
ICXIOU,6315.24723,2
IETH,9.99e-06,1
IDAI,0.0999,1
HGC,17500.0,1
