IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,796765.2897732847,1557.0,0.31103747232730516,247823.86176921532
bnUSD,300649.59058900794,1306.0,1.0006534144639911,300846.0393800918
FRMD,3263074.185212921,1162.0,,
GBET,154988.668736005,835.0,0.024247929365692065,3758.1542919932954
METX,677532.0100946578,812.0,0.000138230270500837,93.65543302836036
OMM,3289690.692900507,808.0,0.02191984212737589,72109.5006362769
BALN,413864.9542650485,689.0,0.21919552272345136,90717.34498704459
FIN,22263.681539673144,323.0,0.324786860551888,7230.951231597464
IUSDC,386150.197524,302.0,1.002693456562619,387190.2763076777
USDS,7493.282783210262,121.0,0.9993413152683511,7488.347072251034
CFT,1481432.6936232576,76.0,0.009103350699834945,13486.001348253649
finOMM,31546.870067102544,57.0,0.02191984212737589,691.5024114837278
IUSDT,3338.988217,37.0,1.0163527520278515,3393.589863336519
obnUSD,24131.615661696407,35.0,1.0006534144639911,24147.383608409236
oOMM,60462.07,27.0,0.02191984212737589,1325.3190290943498
oICX,22482.91512937367,27.0,0.31103747232730516,6993.029092389713
CLAW,405726.794720528,20.0,,
dICX,6937.334391957555,16.0,0.31103747232730516,2157.7709539637603
UP,1.6600225045940369,15.0,0.8296502848429843,1.377238143782207
oIUSDC,110721.275211,15.0,1.002693456562619,111019.49815633862
TAP,474037.8787663344,13.0,0.0009559273810214736,453.1457879540768
dbnUSD,2075.120294978593,12.0,1.0006534144639911,2076.4762085938537
oUSDS,1518.7407792102285,11.0,0.9993413152683511,1517.7404078476302
IDOGE,8901034.130804345,11.0,,
dIUSDC,5252.534277,7.0,1.002693456562619,5266.681749918767
finUSDS,1501.7423674183829,2.0,0.324786860551888,487.74618887157646
dUSDS,1.2142683544551418,1.0,0.9993413152683511,1.2134685344299379
finICX,471.51534779328125,1.0,0.31103747232730516,146.6589419411524
finIUSDC,52440.092849,1.0,0.324786860551888,17031.853123476223
finOICX,9056.562994128832,1.0,0.31103747232730516,2816.9304616668423
ICX,,,0.2789442,
