IRC Token,Amount,No. of Transactions
bnUSD,18545049.66082924,11763
sICX,13070251.752949022,8326
BALN,345747.4971080624,6059
IWIN,153345.04390000156,1999
IAM,32571.460684553735,1992
PGT,3000.0683950925986,1857
METX,1079111.88031133,986
LDX,815332.9463519775,970
UP,16.708072445345753,341
TAP,1902513.7785387605,114
SEED,4179.307731000001,88
ACT,3950.0,38
SSX,19446.0,18
WOK,1174418036.8215,2
IETH,0.014998132014927577,1
HGC,2000.0,1
uMETX,10002.212825161285,1
uSEED,0.000300177778031283,1
uTAP,2000.0,1
