to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
System,43413,0.0,System,2,43754,System
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,4465,9.17138906249974,MyID_1,0,4501,MyID
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,4024,84.85925468750119,bnUSD,6548,57,bnUSD
cx0000000000000000000000000000000000000000,3577,31.38233750000002,governance,1554,0,governance
cx66f2ed0663d5aa7efe92ab41b1e0e19ac73007a4,1588,5.17782212500003,LambdaX,3195,0,LambdaX
hx92b7608c53825241069a280982c4d92e1b228c84,1458,2.3262450000000134,MyID_related_2,0,0,MyID
cx44250a12074799e26fdeee75648ae47e2cc84219,1084,8.402151812499984,balanced_governance,1075,0,Balanced
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,1054,9.899131375000094,MyID_2,1058,0,MyID
cx993810b4523ab6b1658925d8d6c234f286adbdba,1019,2.3340957499999786,IWinToken,1035,0,IWinToken
cxaa99a164586883eed0322d62a31946dfa9491fa6,753,32.001012975000016,OptimusRewards,3353,2,Optimus
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,715,40.09081656249998,Omm Lending Pool,12688,0,Omm
cx5d6e1482434085f30660efe30573304d629270e5,587,6.883010562499999,"ICONbet
 Baccarat",2340,2167,ICONbet
cx785d504f44b5d2c8dac04c5a1ecd75f18ee57d16,556,27.07071337499998,Finance Token,2864,22,Optimus
cxa0af3165c08318e988cb30993b3048335b94af6c,544,9.616280137500008,balanced_dex,1411,0,Balanced
cx82c8c091b41413423579445032281bca5ac14fc0,531,5.458547375000022,Craft,539,367,Craft
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,513,23.526961,balanced_baln,1910,50,Balanced
hx11de4e28be4845de3ea392fd8d758655bf766ca7,480,0.5999999999999928,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx087b4164a87fdfb7b714f3bafe9dfb050fd6b132,475,2.7215810000000062,Relay_1,0,569,Relay
cxd47f7d943ad76a0403210501dab03d4daf1f6864,454,4.890120562499996,"ICONbet
 Blackjack",738,1164,ICONbet
cxb0b6f777fba13d62961ad8ce11be7ef6c4b2bcc6,447,6.078329550000021,"ICONbet
 DAOdice(new)",1965,1377,ICONbet
cx2609b924e33ef00b648a409245c7ea394c467824,403,44.34278662499998,balanced_sicx,1769,24,Balanced
cx203d9cd2a669be67177e997b8948ce2c35caffae,387,43.9397700625,balanced_dividends,2717,0,Balanced
cx2e6d0fc0eca04965d06038c8406093337f085fcf,383,22.664014499999972,Craft,1625,9,Craft
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,376,1.3009935,balanced_rewards,756,0,Balanced
cx9c4698411c6d9a780f605685153431dcda04609f,371,5.227138837500001,Auction,1641,0,Craft
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,337,2.5388208750000016,unknown_cx,954,0,Craft
cx299d88908ab371d586c8dfe0ed42899a899e6e5b,328,4.098910937500018,"ICONbet
 Levels",1826,791,ICONbet
cx14002628a4599380f391f708843044bc93dce27d,293,71.21697449999992,iAM Div,5508,5520,iAM 
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,246,19.710491749999992,omm token,1908,12,Omm
cx2dc662031f3d62bcdba4f63e9bf827767c847565,241,2.896701125000001,GangstaBet Skill,1279,1289,GangstaBet
cx9fda786d3e7965ed9dc01321c85026653d6a5ff4,213,3.3510034374999935,"ICONbet
 Jungle Jackpot",610,426,ICONbet
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,205,45.33395418749999,Balanced Router,1660,17,Balanced
cx66d4d90f5f113eba575bf793570135f9b10cece1,181,7.820041999999997,balanced_loans,807,59,Balanced
cx57d7acf8b5114b787ecdd99ca460c2272e4d9135,171,0.6425807500000003,NebulaPlanetToken,171,0,Nebula
hxc4193cda4a75526bf50896ec242d6713bb6b02a3,150,0.18750000000000014,binance_hot,0,0,binance
cx7b1843b7ef5368a080ccf59c0a9d1bdec474f9f6,149,3.4337968125000025,OptimusDividends,727,0,Optimus
cx55e13d2ff2535c8bac82a4f5d01769a4a8a3d799,89,11.443686312500002,OptimusEarn,489,0,Optimus
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,86,7.105692937499999,GangstaBet Token,777,6,GangstaBet
cxae3034235540b924dfcc1b45836c293dcc82bfb7,80,3.3773142499999986,ICON USD Coin,576,2,ICON USD Coin
cx8683d50b9f53275081e13b64fba9d6a56b7c575d,79,0.28620056250000003,gangstabet_trade,81,0,GangstaBet
cx38fd2687b202caf4bd1bda55223578f39dbb6561,77,1.6493318625000004,"ICONbet
 Mini Roulette(new)",252,154,ICONbet
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,64,15.125305012499998,NebulaMultiToken,55,0,Nebula
cxbb2871f468a3008f80b08fdde5b8b951583acf06,60,0.8714273124999999,Stably_USD,285,0,Stably_USD
cx43e2eec79eb76293c298f2b17aec06097be606e0,59,0.5616530624999998,balanced_staking,172,1,Balanced
cxd192264e201636d3a07e129663131d6a296c3567,50,10.278968749999999,OptimusEarn,702,0,Optimus
cx369a5f4ce4f4648dfc96ba0c8229be0693b4eca2,38,2.339706249999999,Metanyx,155,0,Metanyx
cx2d86ce51600803e187ce769129d1f6442bcefb5b,33,0.09636306249999997,unknown_cx,36,0,Craft
hx415f0389442f425e875d0d88997cbbedaf9a1ca1,30,0.03750000000000001,unknown_hx,0,0,unknown_hx
hx8d94c7c632386e0495f75f91551efa04e9a3d86a,30,0.03750000000000001,unknown_hx,0,0,unknown_hx
cxba62bb61baf8dd8b6a04633fe33806547785a00c,29,0.8594106874999997,MyID_3,28,0,MyID
cxcc711062b732ed14954008da8a5b5193b4d48618,27,0.04994999999999999,peek_1,0,0,peek
cxc0b5b52c9f8b4251a47e91dda3bd61e5512cd782,27,0.3538823124999999,TapToken,93,0,ICONbet
cx384018e03aa8b739472c7a0645b70df97550e2c2,27,0.08873281249999994,GangstaBet,27,0,GangstaBet
hx8b96393e7825a87a46749d695593f2845fabf096,24,0.03000000000000001,unknown_hx,0,0,unknown_hx
hxf2b4e7eab4f14f49e5dce378c2a0389c379ac628,19,0.023750000000000004,upbit_hot5,0,0,upbit
hx68646780e14ee9097085f7280ab137c3633b4b5f,19,0.023750000000000004,kraken_hot,0,0,kraken
hx8d28bc4d785d331eb4e577135701eb388e9a469d,18,0.022500000000000003,upbit_hot4,0,0,upbit
hx133323c2e990994816b548a9e7eb080a5eac8031,17,0.02125,unknown_hx,0,0,unknown_hx
hx4a01996877ac535a63e0107c926fb60f1d33c532,16,0.02,upbit_hot3,0,0,upbit
hx294c5d0699615fc8d92abfe464a2601612d11bf7,16,0.02,funnel_1,0,0,funnel_1
hxfdb57e23c32f9273639d6dda45068d85ee43fe08,16,0.02,upbit_hot2,0,0,upbit
cx9f4ab72f854d3ccdc59aa6f2c3e2215dd62e879f,15,0.1269408125,CPS_Score,15,0,CPS_Score
cxcaef4255ec5cb784594655fa5ff62ce09a4f8dfa,15,0.11837249999999998,peek_3,15,0,peek
hx85532472e789802a943bd34a8aeb86668bc23265,14,0.017499999999999998,unkEx_c1,0,0,unkEx_c
hxa390d24fdcba68515b492ffc553192802706a121,13,0.016249999999999997,bitvavo_hot,0,0,bitvavo
cx0cf826b9756e5a69f1f83a7717a2f2d815694031,12,0.0704865625,uTAP,46,0,UP
hx6d8ca6fb970c1f2a11012d286730d8488200237c,10,0.012499999999999999,unknown_hx,0,0,unknown_hx
cx82931dc2c8a878538aa0c0ba485832fd7a7503e2,10,0.08269088749999999,OptimusLPStaking,28,0,Optimus
cx4bfc45b11cf276bb58b3669076d99bc6b3e4e3b8,9,0.049903562500000005,NebulaTokenClaiming,8,0,Nebula
hx548ad28ef8d6caed7f27f6001fb7a654ad8cca40,9,0.01125,unknown_hx,0,0,unknown_hx
hxcf42e29310f0f5ae53f1d849f489d8bc43106729,9,0.01125,unknown_hx,0,0,unknown_hx
cx943cf4a4e4e281d82b15ae0564bbdcbf8114b3ec,9,0.0312839375,NebulaSpaceshipToken,11,0,Nebula
hx1a727577686a20eeeb67251b330e026e5597dbf5,9,0.01125,unknown_hx,0,0,unknown_hx
hx6addd02f32fba7d6fc5f242f275fcb147a91cf78,9,0.01125,unknown_hx,0,0,unknown_hx
cxe7c05b43b3832c04735e7f109409ebcb9c19e664,8,0.6998300625,IAM Token,56,0,iAM 
hxb0570b66436d7dc90eec6999158662a0610a86ed,8,0.01,unknown_hx,0,0,unknown_hx
cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,7,0.6550029374999999,Balanced FeeHandler,71,8,Balanced
hx0c65769342c65e2206893f855793d33d0732c5fa,6,0.007500000000000001,unknown_hx,0,0,unknown_hx
hx002872c5d6a38a08ff52255af3bd1378c860006d,6,0.007500000000000001,unknown_hx,0,0,unknown_hx
hxe6067f394b1e927c4b9bf888640f6775c9be9e6e,6,0.007500000000000001,unknown_hx,0,0,unknown_hx
cx67d48a0f1e91d1e1e85a830a80fa396fa446a13d,6,0.014363125,ICONNetBet,12,0,ICONNetBet
hx58b2592941f61f97c7a8bed9f84c543f12099239,6,0.007500000000000001,"binance
sweeper_02",0,0,binance
cx3a36ea1f6b9aa3d2dd9cb68e8987bcc3aabaaa88,6,0.57317625,ICON Tether,64,1,ICON Tether
hx26a08630f8cadc1266e11d2cb3b8e2b629407949,5,0.00625,unknown_hx,0,0,unknown_hx
hx8041d38f3831dcb40ffab9f7b6d38fde80660e94,5,0.00625,unknown_hx,0,0,unknown_hx
hxa2af99ab42ef140797060bfffc3468dbb2eff9e9,5,0.00625,unknown_hx,0,0,unknown_hx
hx9555619fdde568ad518bf33c066241b4c8177d58,5,0.00625,unknown_hx,0,0,unknown_hx
hx6387c04e085fbb5bbaf8517c2e4be6f4fd980030,5,0.00625,unknown_hx,0,0,unknown_hx
cx1c06cf597921e343dfca2883f699265fbec4d578,5,0.184140875,"ICONbet
 Lottery(new)",15,9,ICONbet
hx150af8a59375f3ce875b44275eb8049eb5b3de9e,5,0.00625,unknown_hx,0,0,unknown_hx
hx5dfedf5e57a344c00688be387d5d6f7b058a5c6a,5,0.00625,unknown_hx,0,0,unknown_hx
hxda21f6399d22c6fc22f9da3f2568e46144c71e0b,5,0.00625,unknown_hx,0,0,unknown_hx
hxaf11095fe7d4c8e486b6098a7770f9b9343fe6d8,5,0.00625,unknown_hx,0,0,unknown_hx
cx537bd62a5fa6bc90a8d9a309e12fb061700f13c4,5,0.01274475,uMETX,4,0,UP
cx841f29ec6ce98b527d49a275e87d427627f1afe5,5,0.32428349999999995,Omm Delegation,0,0,Omm
hxb3a486783b7d0c0c4fec74c98c50c717568edadb,5,0.00625,unknown_hx,0,0,unknown_hx
cx015c7f8884d43519aa2bcf634140bd7328730cb6,4,0.029160624999999996,unknown_cx,16,0,unknown_cx
hxdf14072c59f1de45d082cd489a713c0d101852c1,4,0.005,unknown_hx,0,0,unknown_hx
hx230fdd2eb239d5f590c7ff2d94a32b8899fc0628,4,0.005,unknown_hx,0,0,unknown_hx
hxa19e501a370d95229de80af0a7d89bf4cfaa602b,4,0.005,unknown_hx,0,0,unknown_hx
hx24e1a53ea8f69160be92df9694ebc134aed9e175,4,0.005,unknown_hx,0,0,unknown_hx
hxbd2c03d2e8c85b54a2a9f8b57fc1ab8f19d6d376,4,0.005,unknown_hx,0,0,unknown_hx
cxc6bb033f9d0b2d921887040b0674e7ceec1b769c,4,0.0150585625,Lossless Lottery,5,0,Lossless Lottery
hx6332c8a8ce376a5fc7f976d1bc4805a5d8bf1310,4,0.005,upbit_hot1,0,0,upbit
hxd75b8ff9b0fdb1989acb6d0929f824b7312c678d,4,0.005,unknown_hx,0,0,unknown_hx
hxd41a1a3878a89f0171480b28bc3c8bfdf67b4841,4,0.005,unknown_hx,0,0,unknown_hx
hxace0dd31e679f9c4ea527ae2a9ed275681e90427,4,0.005,unknown_hx,0,0,unknown_hx
hx5f2d2234cfc3e6cce5d04852ca211de19af0168a,4,0.005,unknown_hx,0,0,unknown_hx
hx09ac7a3bacc34385632f55c6455fe17c584607a2,4,0.005,unknown_hx,0,0,unknown_hx
hxef33cb9c3522e1f95cd572a1c350219de94ab579,4,0.005,unknown_hx,0,0,unknown_hx
hx9994eeff7490131f381ba2927aa0ff4298817076,4,0.005,unknown_hx,0,0,unknown_hx
hx010597fb6c217f2d933d88f7f8bba3f88dc6a5c5,3,0.00375,unknown_hx,0,0,unknown_hx
hx1f42b13ead2ade46e9f7e0d172c6a92ec5394d67,3,0.00375,unknown_hx,0,0,unknown_hx
hxcb6f0f0bddff945a21e5970258aaeeeba8583026,3,0.00375,unknown_hx,0,0,unknown_hx
hx3840e31f4d07bf2b028ff01c2e0bdadfeba96222,3,0.00375,unknown_hx,0,0,unknown_hx
hx780f9431f111335a55f837ec7a03d58bb43e2032,3,0.00375,unknown_hx,0,0,unknown_hx
hxa4086ebf07c7d4f51ae17ec1d73535f52586bb59,3,0.00375,unknown_hx,0,0,unknown_hx
hx98c46dcbf99cf01ac7e90c84c94e2650cf683ae8,3,0.00375,unknown_hx,0,0,unknown_hx
hx663ff2514ece0de8c3ecd76f003a9682fdc1fb00,3,0.00375,"binance
sweeper_13",0,0,binance
hx6c09828dc20c7f5ef017c695fa2ae36961ece1a3,3,0.00375,unknown_hx,0,0,unknown_hx
hx6c76d31949444f5ea329277b7930afdc2e7a20b8,3,0.00375,unknown_hx,0,0,unknown_hx
hx8c0a4814a5164e5b8afaba7a285994588fc4e6b4,3,0.00375,unknown_hx,0,0,unknown_hx
hx51c54f224f6a649f0508c56dd66ffc76fe5793ce,3,0.00375,unknown_hx,0,0,unknown_hx
hx50e8e51177e5d291334be0b376a9c157e8cdf6c0,3,0.00375,unknown_hx,0,0,unknown_hx
hx2b021f7dcabc0a382af68b4c9ff4846f4927dd93,3,0.00375,unknown_hx,0,0,unknown_hx
hx6dc8b5997f239ca98fca7bc6f7ab4b08292cb60a,3,0.00375,unknown_hx,0,0,unknown_hx
hxd7362d1dcdb686647fdcac6474f96f07acbc7518,3,0.00375,unknown_hx,0,0,unknown_hx
hx03ead73abd53450eac5d856cf7893463813b9277,3,0.00375,unknown_hx,0,0,unknown_hx
hx2e38c7f1bc399f273e292a7e9286e3c82299dcdb,3,0.00375,unknown_hx,0,0,unknown_hx
hx9c819ca0b6e31cda925abea0d39b80b0f8861ce1,3,0.00375,unknown_hx,0,0,unknown_hx
