to,Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
0,43134,0.0,System,5,43135,System
cx0000000000000000000000000000000000000000,2268,4.012537499999925,governance,915,0,governance
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,737,1.5138440625,MyID_1,0,737,MyID
cx369a5f4ce4f4648dfc96ba0c8229be0693b4eca2,727,2.789185487499979,Metanyx,808,0,Metanyx
hx92b7608c53825241069a280982c4d92e1b228c84,720,1.144799999999928,MyID_related_2,0,0,MyID
hx11de4e28be4845de3ea392fd8d758655bf766ca7,480,0.6,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,439,16.294803962499998,FRAMD Token,1144,184,FRAMD
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,367,20.61687514999999,balanced_baln,860,160,Balanced
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,320,20.831215975,Yetis,1180,1173,FRAMD
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,318,2.9879816249999975,MyID_2,318,0,MyID
cx087b4164a87fdfb7b714f3bafe9dfb050fd6b132,295,3.4983127499999904,Relay_1,0,1448,Relay
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,256,14.632024349999993,CraftRewards,1108,0,Craft
cx38fd2687b202caf4bd1bda55223578f39dbb6561,241,6.457767087499992,"ICONbet
 Mini Roulette(new)",1354,991,ICONbet
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,160,1.0082500499999956,NebulaMultiToken,167,0,Nebula
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,142,39.227702525,omm_lending,4440,0,Omm
cx2e6d0fc0eca04965d06038c8406093337f085fcf,141,17.1503266125,Craft,932,4,Craft
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,134,15.215450674999998,bnUSD,860,4,bnUSD
cx2609b924e33ef00b648a409245c7ea394c467824,129,15.560231787499996,balanced_sicx,675,0,Balanced
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,110,7.277178687499997,balanced_rewards,363,0,Balanced
cx23a91ee3dd290486a9113a6a42429825d813de53,109,2.5348548124999972,BTP Message Center,164,45,BTP Message Center
cx57d7acf8b5114b787ecdd99ca460c2272e4d9135,97,1.1171181749999968,NebulaPlanetToken,95,0,Nebula
cxa0af3165c08318e988cb30993b3048335b94af6c,96,3.2096262374999966,optimus_baln,304,0,Optimus
cx4bfc45b11cf276bb58b3669076d99bc6b3e4e3b8,93,11.768859175,NebulaTokenClaiming,90,0,Nebula
