,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
0,2023-08-04,93598,269.55347267499985,17389,50555,110987,,,,
1,2023-08-05,92520,193.1254567749999,13082,49448,105602,,,,
2,2023-08-06,92423,186.5289840999999,12811,49308,105234,,,,
3,2023-08-07,88358,287.32507439999983,13988,49182,102346,,,,
4,2023-08-08,92839,221.85423799999987,15048,50136,107887,,,,
5,2023-08-09,92661,195.4713883874999,7086,43732,99747,,,,
6,2023-08-10,91190,208.2603563374999,13007,49515,104197,105142.85714285714,,223.15985295357132,
7,2023-08-11,77778,177.4791583874999,11968,49753,89746,102108.42857142857,,210.00637948392847,
8,2023-08-12,91734,163.6525158624999,11104,48986,102838,101713.57142857143,,205.7959593535713,
9,2023-08-13,94300,207.6112515374999,13861,49247,108161,102131.71428571429,,208.80771184464274,
10,2023-08-14,94610,284.1964961624999,14848,49778,109458,103147.71428571429,,208.36077209642846,
11,2023-08-15,88031,224.1850507374999,18467,54463,106498,102949.28571428571,,208.69374534464276,
12,2023-08-16,49540,173.14212489999989,9177,43874,58717,97087.85714285714,,205.5038505607142,
13,2023-08-17,50297,253.4286111999999,20503,54534,70800,92316.85714285714,,211.95645839821418,
14,2023-08-18,49524,160.8054641749999,13482,48955,63006,88496.85714285714,,209.57450208214274,
15,2023-08-19,48970,125.17037822499992,12705,49498,61675,82616.42857142857,,204.0770538482142,
16,2023-08-20,48872,128.0094418749999,12867,50264,61739,75984.71428571429,,192.70536675357133,
17,2023-08-21,63471,222.67683052499987,14301,49020,77772,71458.14285714286,,183.9168430910713,
18,2023-08-22,92471,220.35696657499992,13458,49856,105929,71376.85714285714,,183.3699739249999,
19,2023-08-23,92694,197.6381536874999,13232,49184,105926,78121.0,,186.86940660892847,
20,2023-08-24,92413,201.26044751249992,12522,49428,104935,82997.42857142857,,179.41681179642845,
21,2023-08-25,92464,165.82885192499992,11551,49063,104015,88855.85714285714,,180.13443861785706,
22,2023-08-26,57455,116.52247697499992,11623,49233,69078,89913.42857142857,,178.89902415357136,
23,2023-08-27,48628,108.53127699999992,11559,49292,60187,89691.71428571429,,176.11642917142848,
24,2023-08-28,48961,135.4962913749999,12920,49526,61881,87421.57142857143,,163.66206643571422,
25,2023-08-29,49348,187.7361487749999,14265,49722,63613,81376.42857142857,,159.00194960714276,
26,2023-08-30,50181,178.01137898749988,15992,50096,66173,75697.42857142857,,156.1981246499999,
27,2023-08-31,50294,149.66621482499986,13216,49154,63510,69779.57142857143,,148.82751998035704,
28,2023-09-01,49486,119.12136521249992,7368,44291,56854,63042.28571428572,,142.15502187857132,
29,2023-09-02,48866,126.6239295749999,11825,49298,60691,61844.142857142855,85640.06666666667,143.5980865357142,186.30899322291654
30,2023-09-03,48412,122.77159481249991,10630,49055,59042,61680.57142857143,83908.56666666667,145.6324176517856,181.41626396083322
31,2023-09-04,51123,179.39990414999986,15844,49555,66967,62407.142857142855,82620.73333333334,151.90436233392847,180.9587455399999
32,2023-09-05,48706,125.78106714999991,12309,49099,61015,62036.0,81146.76666666666,143.0536363874999,178.93381497499988
33,2023-09-06,49379,119.5225764999999,11739,48973,61118,61313.857142857145,79772.5,134.69809317499988,173.34039837833322
34,2023-09-07,49687,121.93508346249988,11404,49083,61091,60968.28571428572,78212.63333333333,130.73650298035702,170.0097598937499
35,2023-09-08,49172,112.45293134999991,11968,49043,61140,61580.57142857143,76925.73333333334,129.78386957142848,167.2424779924999
