to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,43151,System,2,43152,System
cx0000000000000000000000000000000000000000,2.484057499999954,1407,governance,977,0,governance
cxee7a00755a757e3c519a0616456030e33dc9d47f,365.07923632499995,791,BTP_2,0,797,BTP
cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,2.888900174999998,702,Blobble Stake Token,711,0,Blobble
cxf2ca3b655a782f39227934d37ff3b77f9b1ebcf9,2.5695714749999667,633,Blobble,0,0,Blobble
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,4.373318537499991,433,FRAMD Token,493,11,FRAMD
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,1.7653912624999708,343,Relay_4,0,0,Relay
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,15.107397162499995,134,bnUSD,1025,72,bnUSD
cx2609b924e33ef00b648a409245c7ea394c467824,9.045002674999997,80,sICX,463,22,sICX
cx5a0af85407c69945eb318d4ac18e9e842184163c,3.604454374999998,58,GangWar Simulation,148,51,GangstaBet
cxba62bb61baf8dd8b6a04633fe33806547785a00c,1.4782320624999996,49,MyID_3,49,0,MyID
cx14002628a4599380f391f708843044bc93dce27d,22.5265218125,46,iAM Div,4226,4229,iAM 
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,0.405579062499998,43,MyID_2,43,0,MyID
cx66d4d90f5f113eba575bf793570135f9b10cece1,3.131553512499999,34,balanced_loans,110,76,Balanced
hxb568381d35d3e7a6383200e8a0d30310af20b929,0.04125,33,binance_hot,0,0,binance
cx622bbab73698f37dbef53955fd3decffeb0b0c16,5.431321187499999,28,ICON IBC Handler,7,41,ICON IBC Handler
cxd17316e24ee40f2ef8ed6f3a497311db1b35206d,0.4303637624999991,26,GangstaVerse LootBox,124,0,GangstaBet
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,0.9706947749999996,25,CROWN,118,7,GangstaBet
cx44250a12074799e26fdeee75648ae47e2cc84219,18.1547464875,22,balanced_governance,2,0,Balanced
cxd82fb5d3effecd8c9071a4bba3856ad7222c4b91,1.1434542624999995,20,Balanced Savings,56,0,Balanced
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,2.2692430999999993,18,balanced_baln,130,12,Balanced
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,3.596843112499999,16,CraftRewards,123,2,Craft
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,3.4913930375,15,Inanis Treasury,52,7,Inanis
cxa0af3165c08318e988cb30993b3048335b94af6c,0.4896478999999993,14,balanced_dex,43,2,Balanced
cxa07f426062a1384bdd762afa6a87d123fbc81c75,0.9891046374999998,14,xCall,75,60,xCall
cx59d899fce52cadd1feb5128ff5e6672f03943eec,0.0987495249999998,14,unknown_cx,0,7,unknown_cx
cxe65f3286902be43e00a5013cb1dc300ec8e51fa4,3.3841256874999996,14,makeArb,240,3,makeArb
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,0.5519129624999994,13,balanced_rewards,21,13,Balanced
cx203d9cd2a669be67177e997b8948ce2c35caffae,2.6611586375,12,balanced_dividends,186,6,Balanced
cx2dc662031f3d62bcdba4f63e9bf827767c847565,1.3262616249999999,11,SkillScore,172,172,SkillScore
cxd4736a1f685279ad5c26fd77ca92e4d6f47b63b0,0.029393687499999897,11,sMAAR_Token,8,0,sMAAR_Token
hx2f1377f549e31534bcc7d02a1ba23c1a5d289f6f,0.01375,11,unknown_hx,0,0,unknown_hx
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,1.4324107124999996,9,balanced_router,110,5,Balanced
cx917f88460d4ebec1fd656d4dbe51131a37d16837,0.0557638499999998,9,unknown_cx,0,2,unknown_cx
cxb6be11a27f21ad82c7475aa215e3635fafd7f186,0.1058286499999996,9,gangstabet_game,40,0,GangstaBet
cx12a58f7ab2cf2b08b426c490a91a9cb03ea05176,0.5238344374999996,8,unknown_cx,32,42,unknown_cx
cx9f4ab72f854d3ccdc59aa6f2c3e2215dd62e879f,1.5706459374999997,8,CPS Score,79,4,CPS Score
hx1b3e781a1c802c238e30e90aa1a6cee94f9bacbc,0.01,8,unknown_hx,0,0,unknown_hx
cxaa99a164586883eed0322d62a31946dfa9491fa6,0.1978476624999997,7,optimus_rewards,16,2,Optimus
hx133323c2e990994816b548a9e7eb080a5eac8031,0.00875,7,unknown_hx,0,0,unknown_hx
cx7b1843b7ef5368a080ccf59c0a9d1bdec474f9f6,0.22097421249999968,7,optimus_dividends,47,0,Optimus
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,1.3262411249999995,7,gangstabet_token,101,4,GangstaBet
cx28497aef34ec44ad2be9249daddfbe34b54f309a,0.0940221499999999,7,Balanced Bribe,7,0,Balanced
cx43e2eec79eb76293c298f2b17aec06097be606e0,0.1255851874999999,7,balanced_staking,21,0,Balanced
hx3770b6ac37402de04f6af4f5541cf68361fbf238,0.0075,6,unknown_hx,0,0,unknown_hx
hxf02e8eb680ae2d1959b3fde46d9f5ad2fe515508,0.0075,6,unknown_hx,0,0,unknown_hx
cxabea09a8c5f3efa54d0a0370b14715e6f2270591,0.2362120749999999,6,Balanced Asset Manager,30,12,Balanced
cx2e6d0fc0eca04965d06038c8406093337f085fcf,0.1795656749999996,6,Craft,25,1,Craft
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,0.0371750875,6,NebulaMultiToken,8,0,Nebula
hx0384c56a749aac59612bc2cce65343eb4f12ccc9,0.00625,5,unknown_hx,0,0,unknown_hx
hxbb984f278abd66ae2155edbd91f8c87ce98411c8,0.00625,5,kucoin,0,0,kucoin
hx40e700b8d149f31846f1b3c80085489c8df7a3e5,0.00625,5,unknown_hx,0,0,unknown_hx
hxa390d24fdcba68515b492ffc553192802706a121,0.00625,5,bitvavo_hot,0,0,bitvavo
hxaa473ec1866d378db9fda76d3cd1d9de9ae6d406,0.00625,5,upbit_hot_02,0,0,upbit
cx9c4698411c6d9a780f605685153431dcda04609f,0.045448012499999996,4,Auction,21,0,Craft
cxc83f6eaf7e123f656657ebac3b09bc7a38e32314,0.3557186624999999,4,Code Metal Rewards Distribution,96,0,Code Metal Rewards Distribution
hx01eafac5088e878a00c09a4b84b0e38c36a374a7,0.005,4,unknown_hx,0,0,unknown_hx
hx769f4c0044fc461a2b2528086eb160796246d8de,0.005,4,upbit_hot_03,0,0,upbit
cxe0252e6c1fe4040412811d83d13979e335287e45,0.3556857624999998,4,balanced_boosted_baln,14,9,Balanced
hx0e2756108e96f9e265e2c3b77fc802975dd665d9,0.005,4,unknown_hx,0,0,unknown_hx
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,0.8059890749999999,4,Yetis,83,83,FRAMD
hx8532016fd9fbd1472f8db88d2d693561d4708664,0.00375,3,unknown_hx,0,0,unknown_hx
hx3fbb0c1d39ddc8e98b89ceeef5cbab6b5f567e27,0.00375,3,unknown_hx,0,0,unknown_hx
hx4846c4d1e83751f3810fc6b8dabf699cfec5de60,0.00375,3,unknown_hx,0,0,unknown_hx
hxb6ff13c0753f52ea84b1d3abfe3203871c0fcb88,0.00375,3,unknown_hx,0,0,unknown_hx
hx97347e18238192e5066466a0a8865f1892c6be35,0.00375,3,upbit_hot_01,0,0,upbit
hxd5ace539bf910635c2fa0e9c185d2d3c8d52c4cc,0.00375,3,binance.us,0,0,binance
cx943cf4a4e4e281d82b15ae0564bbdcbf8114b3ec,0.0195000624999999,3,NebulaSpaceshipToken,3,0,Nebula
hx7dacfc9e9c94140164369827cada094fe01d118a,0.00375,3,unknown_hx,0,0,unknown_hx
hxb611b26f8ef4c8d515de4d23f62316eb1ad842b9,0.00375,3,unknown_hx,0,0,unknown_hx
hxd2e221b2fddfe0b4ffeda89bde1da651d073fcd6,0.0025,2,unknown_hx,0,0,unknown_hx
hx288bc34f731e935aa8f867c9bc71a1093b668ccb,0.0025,2,unknown_hx,0,0,unknown_hx
hxc13d9ac6507311314169bb39750e99dae411434d,0.0025,2,unknown_hx,0,0,unknown_hx
hx2a79535db548c78e4723495c5b356f8e5d0897c4,0.0025,2,unknown_hx,0,0,unknown_hx
hx1adc2b41608d81704d775ff143f43ab6efe0d792,0.0025,2,unknown_hx,0,0,unknown_hx
hxd354fab5e423d0d778b4a183c35949244999cc48,0.0025,2,unknown_hx,0,0,unknown_hx
hxd60fd9e940c553da270178a92437795da4119d9a,0.0025,2,unknown_hx,0,0,unknown_hx
