IRC Token,Amount,No. of Transactions
sICX,3716323.1576292054,9796
bnUSD,4879269.2229585815,9251
OMM,2352822.07674789,8579
BALN,441086.21679130144,7352
IUSDC,7124643.620101,3339
LDX,420479.4048129859,3307
METX,6575743.3735567955,3067
USDS,6927857.325143548,3031
CFT,4987191.624064038,1224
PGT,3000.1856927988815,600
GBET,258355.0,519
oICX,542441.6400901149,351
oUSDS,2129606.464678563,287
oIUSDC,1977003.404756,278
dIUSDC,1849331.120775,261
UP,8.112942203184554,194
dUSDS,1879790.8716861121,116
SEED,206.559647,97
TAP,631447.409574573,58
ACT,800.0,8
ICXIOU,34154.936,7
IUSDT,54.96,4
IAM,2232.9674842455306,2
HGC,750.0,1
EPX,0.0026,1
uMETX,55.58999979832897,1
