IRC Token,Amount,No. of Transactions
BALN,498765.25541591895,7207
LDX,425727.9453125,3408
sICX,5146582.251136267,3093
PGT,3000.0,2043
bnUSD,1541211.9336416204,1977
METX,299278.4272867072,853
USDS,3571393.4343927475,533
IUSDC,1606117.243977,431
oICX,1533428.2437259578,374
IWIN,499.661,300
oUSDS,1238198.3749929152,263
dUSDS,1101712.9870485328,197
UP,86.76435514972918,100
dIUSDC,528117.1539340001,96
oIUSDC,531318.692508,86
TAP,942052.4481925219,68
SEED,34372.795346,53
ACT,1400.0,14
OMM,1700000.0,12
ICXIOU,1214.30424,4
EPX,3.9000000000000004,3
HGC,18250.0,2
IAM,750.0,1
