IRC Token,Amount,No. of Transactions
sICX,10978170.589609059,6551
BALN,974129.6734149969,6269
bnUSD,6498436.78645637,5857
OMM,5822708.288020293,5144
LDX,423826.453125,3256
IUSDC,969641.482789,1185
USDS,1216948.349256734,824
GBET,1205163.6092394963,605
PGT,3000.0205572620916,543
METX,1106619.1166943756,401
oICX,2502712.805715303,231
CFT,3525397.685385678,221
oIUSDC,186563.239408,168
obnUSD,788217.7563301752,116
dIUSDC,134935.195063,89
dbnUSD,1033569.7826802895,83
oUSDS,271087.82004312973,74
TAP,9341908.129017795,54
IUSDT,3937.669167,51
dUSDS,225270.67116855958,46
UP,6.498604461621053,41
ACT,710.0,8
ICXIOU,100.0,1
HGC,250.0,1
SEED,39.183651,1
