IRC Token,Amount,No. of Transactions
sICX,3512809.038709924,3862
bnUSD,2239993.3362069847,3356
OMM,1466751.130437422,2908
BALN,421374.23182739574,2459
METX,2013994.2751357805,1902
IUSDC,1866109.6272490001,1627
USDS,1013408.1730350219,1592
CFT,656835.9313543523,594
IUSDT,7742.878363000001,575
PGT,3000.0,563
oICX,811613.7844266184,216
oUSDS,386186.3364384435,205
GBET,35612.0,189
oIUSDC,498597.952367,159
dIUSDC,232752.597617,150
UP,1.7829129542558717,90
TAP,760590.0800290172,52
dUSDS,72086.05628445919,49
SEED,41.153277,44
LDX,2300.0,8
ACT,400.0,4
EPX,168.09,3
HGC,8000.0,2
uMETX,60.74042550645746,1
uTAP,2.827494725658222,1
