delegator,biweek,how_many_prep_voted,raffle_tickets
hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,2020-45 & 2020-46,23,2
hx171a92e51f8f199d509c61699897bdc93f265761,2020-45 & 2020-46,23,2
hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,2020-45 & 2020-46,23,2
hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,2020-45 & 2020-46,23,2
hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,2020-45 & 2020-46,23,2
hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,2020-45 & 2020-46,22,2
hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,2020-45 & 2020-46,22,2
hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,2020-45 & 2020-46,22,2
hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,2020-45 & 2020-46,22,2
hx3c117f6c88806a9a37f5602ab884568d71138239,2020-45 & 2020-46,21,2
hx624cc71bdd83371ed6ed32ba06c705e8d586244c,2020-45 & 2020-46,21,2
hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,2020-45 & 2020-46,21,2
hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,2020-45 & 2020-46,21,2
hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,2020-45 & 2020-46,21,2
hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,2020-45 & 2020-46,21,2
hx9a50175b8990abf883182baf0a97bf28191d6435,2020-45 & 2020-46,21,2
hx9a50175b8990abf883182baf0a97bf28191d6435,2020-45 & 2020-46,21,2
hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2020-45 & 2020-46,21,2
hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2020-45 & 2020-46,21,2
hx3c117f6c88806a9a37f5602ab884568d71138239,2020-45 & 2020-46,21,2
hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,2020-45 & 2020-46,21,2
hx77035912d806f04dad1a0d33ba6014effcc7fbc0,2020-45 & 2020-46,21,2
hx624cc71bdd83371ed6ed32ba06c705e8d586244c,2020-45 & 2020-46,21,2
hxac10537896b44850e68db5d5ef50d57af82953da,2020-45 & 2020-46,21,2
hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,2020-45 & 2020-46,21,2
hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,2020-45 & 2020-46,21,2
hxac10537896b44850e68db5d5ef50d57af82953da,2020-45 & 2020-46,21,2
hx77035912d806f04dad1a0d33ba6014effcc7fbc0,2020-45 & 2020-46,21,2
hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,2020-45 & 2020-46,21,2
hx6c4f4f44ae546e57eac829897ed94337fdad47af,2020-45 & 2020-46,20,2
hx6017e7e70f316db3dc5eeeb955fc9fe9713a4bb2,2020-45 & 2020-46,20,2
hx6df7bc87eb3a0a7c38ec7edca32d82a3595071d9,2020-45 & 2020-46,20,2
hx857353391e454d7fc60f4879224aade697602877,2020-45 & 2020-46,20,2
hx857353391e454d7fc60f4879224aade697602877,2020-45 & 2020-46,20,2
hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,2020-45 & 2020-46,20,2
hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,2020-45 & 2020-46,20,2
hx6df7bc87eb3a0a7c38ec7edca32d82a3595071d9,2020-45 & 2020-46,20,2
hxe67b818b6ab2967afc6ede848658c66802b8ab9c,2020-45 & 2020-46,20,2
hx99e3d951340ad78f48437eae250cb05f9f4d0284,2020-45 & 2020-46,20,2
hx99e3d951340ad78f48437eae250cb05f9f4d0284,2020-45 & 2020-46,20,2
hxccc16f51a7884823ad3928b1c3385751e4c9f368,2020-45 & 2020-46,20,2
hxccc16f51a7884823ad3928b1c3385751e4c9f368,2020-45 & 2020-46,20,2
hxc9838544da5b94cbf33fa4155bcd246d3059a5ac,2020-45 & 2020-46,20,2
hxc9838544da5b94cbf33fa4155bcd246d3059a5ac,2020-45 & 2020-46,20,2
hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,2020-45 & 2020-46,20,2
hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,2020-45 & 2020-46,20,2
hxb17745d715f488307816fb9d2861bc2d08c39e5c,2020-45 & 2020-46,20,2
hxb17745d715f488307816fb9d2861bc2d08c39e5c,2020-45 & 2020-46,20,2
hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,2020-45 & 2020-46,20,2
hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,2020-45 & 2020-46,20,2
hx6c4f4f44ae546e57eac829897ed94337fdad47af,2020-45 & 2020-46,20,2
hxe67b818b6ab2967afc6ede848658c66802b8ab9c,2020-45 & 2020-46,20,2
hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,2020-45 & 2020-46,20,2
hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,2020-45 & 2020-46,20,2
hxa745e00938fb20c9b55406d21d2fa175d248ff9c,2020-45 & 2020-46,20,2
hxa745e00938fb20c9b55406d21d2fa175d248ff9c,2020-45 & 2020-46,20,2
hx6017e7e70f316db3dc5eeeb955fc9fe9713a4bb2,2020-45 & 2020-46,20,2
hxf7680b84aed887350194c26bd98996312020379f,2020-45 & 2020-46,19,1
hx40bc58ea43241b88e13e3e2b54db0eefa73108fd,2020-45 & 2020-46,19,1
hx82a8319354bbdf73087c60a019563c980061f592,2020-45 & 2020-46,19,1
hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,2020-45 & 2020-46,19,1
hx82b4acc37a019e08235724f88d4cb0f130a0a208,2020-45 & 2020-46,19,1
hx5d8f854d72bb8ff9f3f8425f7cd035924b4dedde,2020-45 & 2020-46,18,1
hx592e7959a5c0070cf51f18b82390c2553f0f767a,2020-45 & 2020-46,18,1
hx7fb6c93dc1f87902b23921b985f57988383846a5,2020-45 & 2020-46,18,1
hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,2020-45 & 2020-46,18,1
hx35684b6a38b8e7b54ad385a2b986d09c8bc83f61,2020-45 & 2020-46,18,1
hx26907c177186f27613f85431237f3d68cf303528,2020-45 & 2020-46,18,1
hx179358d62f45c8327fab772dfc3bf08b8d5c1259,2020-45 & 2020-46,18,1
hx1cd1e371a8f885f68799aa837e287c5c442e9adb,2020-45 & 2020-46,18,1
hx6c6cbea1f364be1be5a56f9d5b5675a3f9828366,2020-45 & 2020-46,17,1
hx87455c62c2ef3f37496fb2fef0df86fdadada87c,2020-45 & 2020-46,17,1
hx91b9df44a0679a85ff83199b5f66529a45bf2dbb,2020-45 & 2020-46,17,1
hxa4556d928cfabb02caa1f07078f579638b5d4357,2020-45 & 2020-46,17,1
hxc30aabbc541d3ad4019aa5675fc553549852130e,2020-45 & 2020-46,17,1
hx00d85a59cfacc2a44e924f4a7892271145747c60,2020-45 & 2020-46,17,1
hx5203a1c4db4ce125e32d81205a8bff763ff579f1,2020-45 & 2020-46,17,1
hxb28391ccbbe4922c14614f844059d229c27a4809,2020-45 & 2020-46,16,1
hx53c974aa02514313dc3e5371d3703051e4825f3b,2020-45 & 2020-46,16,1
hx1a3690342bc1fbabae3362b56059d17b69b40915,2020-45 & 2020-46,16,1
hxa4223229cf2bacc2fbb861563bb6e2b9cbc56a3e,2020-45 & 2020-46,16,1
hx13c863c2f8839574d795c3c6cce1aab0bd4fcae4,2020-45 & 2020-46,16,1
hx808c36535f80aa585c3431d7d0eba102ed34cb47,2020-45 & 2020-46,16,1
hx91449e6edfd99af685c9c376024db63fca65e236,2020-45 & 2020-46,16,1
hx9624f97052215bc50da22b8b0c3d68ddf9acfe34,2020-45 & 2020-46,15,1
hx9a12c867e8bb3d3e731eec1334bbc43f88ca4fad,2020-45 & 2020-46,15,1
hxc662c03f4bdd3e0eac3782ee0f6ec9f545a2c5d3,2020-45 & 2020-46,15,1
hx9c9d5309ef3381e7e5d9a79c11835c0b5636abcc,2020-45 & 2020-46,15,1
hxa4ba1bcf183f051844c278796f47112e8805d229,2020-45 & 2020-46,15,1
hx39aa53c5d86727d19c5f6b4a1e1ad408399e797c,2020-45 & 2020-46,15,1
hxbcdd18151cbe679fe638e073e4b8aa3d963f9995,2020-45 & 2020-46,15,1
hx864c5eec5eccb203772a322cd711ae7f5c8dec77,2020-45 & 2020-46,15,1
hx23957e7cfd6ad721f240e7fbb395e0d765fb9b36,2020-45 & 2020-46,15,1
hx250858a62cd9fec535459cd61ca7b1d89984c8a9,2020-45 & 2020-46,15,1
hx8816f9995eb3bba5c93a9f954f36e816b9f1df8f,2020-45 & 2020-46,15,1
hxf819c5e1cc4b3e48aab63cacf87b2f723d01ec7d,2020-45 & 2020-46,15,1
hxdd3e1988cb579476efba6206819f7cd6af43f38d,2020-45 & 2020-46,15,1
hx602d61e653c7bc72581e076ede13a18f5ab2f1b0,2020-45 & 2020-46,15,1
hx4816f2d7e86cb5b5d39c6cba12ea549ba2586f00,2020-45 & 2020-46,14,1
hxfdb805565bde3986d4ef2ef22ddf1094e4019796,2020-45 & 2020-46,14,1
hx02e7a0938791fcbd5379740a3f7cdbd5c75c690e,2020-45 & 2020-46,14,1
hx4b03d97b91bc4d13d271ee97c8571141baca6cd0,2020-45 & 2020-46,14,1
hxf21441902d03b9d6d761f9522a3e73edb86309b6,2020-45 & 2020-46,14,1
hx099f80b0911a8d44d21053743334334dadb153ce,2020-45 & 2020-46,14,1
hx9927cd105cb4f6de0139117b6be189ce07ca25ee,2020-45 & 2020-46,14,1
hxed5e0d1bade8dc01084d0a68e0d370c41c69465d,2020-45 & 2020-46,14,1
hxc884dc0d06b9ede780f563eef6f0a788e831489e,2020-45 & 2020-46,14,1
hxe3dd8785da38941b2d6893b027502a586be5edb1,2020-45 & 2020-46,14,1
hx1f8527706896d332d6c8437dff1c51590c72efa7,2020-45 & 2020-46,14,1
hx461eb340a1aca911fb8a85d0401a5c3b84345aae,2020-45 & 2020-46,14,1
hxdbe63a2fca42c3caad4589c2f0a82a0fd6f27a44,2020-45 & 2020-46,14,1
hxb163cdee7a21a16177b9a1b150fc66717320a934,2020-45 & 2020-46,14,1
hxb38c61724a537235f9ce7b2fa1e498ce6b0bd0f9,2020-45 & 2020-46,14,1
hxbae2c2c3b5461d945ea9d040c8287ab11d524c95,2020-45 & 2020-46,14,1
hx17de469300d89a6c725084947f753589ca621e87,2020-45 & 2020-46,14,1
hxce773241e990107283650688785b259ce7afc91a,2020-45 & 2020-46,14,1
hx463b1ee3016d7244516413acc69de2f1cdb268fd,2020-45 & 2020-46,14,1
hx6b91200ebf1df682e2ebeb0279b1bdb611d66257,2020-45 & 2020-46,14,1
hx614e597a1577f66fcd8988f88170de4c619a0573,2020-45 & 2020-46,14,1
hx5949b6be475b9d1417b1330ad55e9308d5e05bfb,2020-45 & 2020-46,14,1
hx3fe703490d6f0b30bf1e0aaf96bc7050597a943b,2020-45 & 2020-46,13,1
hx9b7a327acaa261572c77722c44a4090f16dc4c98,2020-45 & 2020-46,13,1
hx9e780e0fc513a3c00663dd01c0d12672fe0dd865,2020-45 & 2020-46,13,1
hx6654384862ba2431c12575fd98e02a1ebe500d31,2020-45 & 2020-46,13,1
hx44a17a00d1641f939c78d95dc6b1807de266ecbc,2020-45 & 2020-46,13,1
hx261bef2e1e9abac57941b8f45541afa25a9eacbb,2020-45 & 2020-46,13,1
hx442f62bda2157037af839c7075f43f16b2d4cc91,2020-45 & 2020-46,13,1
hxa7b3f39a318d7242dc06908deda20676609d2630,2020-45 & 2020-46,13,1
hx7849e4405707a7ed86a3d24f8ff4cf45cde3587d,2020-45 & 2020-46,13,1
hxc503ebb5a1d72d511e8924e9023437c82fee95b2,2020-45 & 2020-46,13,1
hx2835a19c583698904afd1c77d99112a5b840e032,2020-45 & 2020-46,13,1
hx1584db5872b6d7e24b57f73fd3b9c5d516db3ef8,2020-45 & 2020-46,13,1
hx2b7fd14ca47f8f2e54bafd31b276e7be379b2162,2020-45 & 2020-46,13,1
hx5b038a80b468ed9b581f666bbcd01316f4782ba3,2020-45 & 2020-46,13,1
hxd65454fc832f4257d9a786e41222ed03ae05edc1,2020-45 & 2020-46,13,1
hx7616d8e5a76ac50c883393bd158df54578b61e73,2020-45 & 2020-46,13,1
hx1982db9a5a0ea04efb3a1d53648fc7143c429d2e,2020-45 & 2020-46,13,1
hx58b45678ec9a9087293617d95bc3f69e5b036f59,2020-45 & 2020-46,13,1
hx49e57e5fed70ed214b39435032f7f84bc36eb8b2,2020-45 & 2020-46,13,1
hx2399a64612e7f4494dc731839cbabc24dfd62e07,2020-45 & 2020-46,13,1
hx53385b530d6213c8d9f149be6fd573fc60438141,2020-45 & 2020-46,13,1
hxdae7ec0c2367f4f3696f2275490116ed4b2202f7,2020-45 & 2020-46,13,1
hx1817d865895f7c394891ab0ac15ed3cdb781611d,2020-45 & 2020-46,13,1
hx1858bb7d884b5a6a74ceaa63eca015ce184bc726,2020-45 & 2020-46,13,1
hx6e0a36493b252832790bcb9517fefc691a9840c3,2020-45 & 2020-46,13,1
hxc671a96e9372e17a95f075e60c10d16daa6fa041,2020-45 & 2020-46,12,1
hxfcfa8585fe2e5a7d96b154b54b697bb477b4fe30,2020-45 & 2020-46,12,1
hx1ef3d6019d3f815e2cfb53dd52fa9a38975c9da0,2020-45 & 2020-46,12,1
hxe79696489e108bc2a0b2f9253a241815179193e9,2020-45 & 2020-46,12,1
hxab84e5c20bdde1ce5636b8c323a08057c3eeb377,2020-45 & 2020-46,12,1
hxd6065022196e9be0026baa4b6ebed925102fa170,2020-45 & 2020-46,12,1
hx574cd24f06b6d991e00424193e76f3113897364c,2020-45 & 2020-46,12,1
hx303aaec9df00dccdca686c9730f7d08453a3025b,2020-45 & 2020-46,12,1
hxfd1d9ff6a7f50c2314ae57fa9ad386fac3063ca8,2020-45 & 2020-46,12,1
hxaf0882e1856ba71a69408edea4c244f706ac622e,2020-45 & 2020-46,12,1
hx502d1ba22f1da5745830bb71b7dcb68e77a9c3a7,2020-45 & 2020-46,12,1
hx3ee1c2d14a10919cdda370504dfd95758135e1c1,2020-45 & 2020-46,12,1
hx60f200b8f2855d176ce080f19ec435da821c200c,2020-45 & 2020-46,12,1
hx86224a68a3a332e7f334efa0fe8bd13bbac28d70,2020-45 & 2020-46,12,1
hxc071ae3c92882a051ab328042e12a666419fe58a,2020-45 & 2020-46,12,1
hx36dd546d61fbc6ac7f7b1af2f7b4776eacb0b326,2020-45 & 2020-46,12,1
hx4d8b4d765319042b4b91cdc4ea32f35d325cde6a,2020-45 & 2020-46,12,1
hx4ecf40ccbc51e1f2a3d21a8bda45414add51fd73,2020-45 & 2020-46,12,1
hxdec4c87088f4005c6613089533f25f9336ba402b,2020-45 & 2020-46,12,1
hxe7ac3cddbc151c6bff08a9e9d37cab9467619636,2020-45 & 2020-46,12,1
hx80d5d40ee80db11100e4beea7c6d07921e1dc87a,2020-45 & 2020-46,12,1
hx76b8a2adfd79e3b1719a11e44c293f369dd3c817,2020-45 & 2020-46,12,1
hx62f7306b2681eaf46744ec968acbbab3cfb95373,2020-45 & 2020-46,12,1
hx5932011663f6331c69ce91a83c486897f157dadb,2020-45 & 2020-46,12,1
hxc54f2d3584b149ece803993969c73fb31bde304e,2020-45 & 2020-46,12,1
hx9824d726914f87720e579332e0baa24ee1543277,2020-45 & 2020-46,12,1
hx7c3cc3611ee50a8db0362a16abccbd208b70b22a,2020-45 & 2020-46,12,1
hx21633046abd1d663d236f9adb0adf4bdc340b8c0,2020-45 & 2020-46,12,1
hx4ae2b9bd8264a9fe4090fcdc917538c860020838,2020-45 & 2020-46,12,1
hx09eca3e3cb0d74a427426f8f328ed4da18f13fa7,2020-45 & 2020-46,12,1
hx49d49a4ae9a0a21ad72aadb4579c29817ed64075,2020-45 & 2020-46,12,1
hx790cec91b0d3281d1af5cca2e2c1ecee66e5b1ad,2020-45 & 2020-46,12,1
hx7161b1f236e9f8541c00b8b79d8b549cbe2f29be,2020-45 & 2020-46,12,1
hxb106e5baab67f48c06149832a0a4baee97c9362a,2020-45 & 2020-46,12,1
hx1a329df439db3f019523d56d7945d37d35bf4f38,2020-45 & 2020-46,12,1
hx62207d1640bf8e1fefe9bcfe64366cbbd7ce3330,2020-45 & 2020-46,12,1
hxd32087b5cb414cca8af65d10efa339e72fc105d5,2020-45 & 2020-46,12,1
hx202d64a9642337af9b575825aa602eb16a436285,2020-45 & 2020-46,12,1
hx5431f4aa69a654d2d355b4cac7fa1e65865fb1a1,2020-45 & 2020-46,12,1
hx9149c2de46219ca2ed05cfdca5eff35fb9725319,2020-45 & 2020-46,12,1
hx304793fef6c301c7b01c4d6918b60aaae6c3ee19,2020-45 & 2020-46,12,1
hx5e2908097689627b16532de3047fc61bc8ee726c,2020-45 & 2020-46,12,1
hxdeb908625fcab32473b9ab4798fb140bdd290324,2020-45 & 2020-46,12,1
hx185ca47b08d33c88b7a6c7b35be34d38fd9de92c,2020-45 & 2020-46,11,1
hx4f726993a6cfabc87b3efc2949dac6fad761fca5,2020-45 & 2020-46,11,1
hxd7c28d23e0a66e30e51f50ff7572ed60c4259cc1,2020-45 & 2020-46,11,1
hxd59135c8d2288aef36ed9b5e33c03260cf6decda,2020-45 & 2020-46,11,1
hxd5629fb8fe7a0aeb703abb336002b09461f1341d,2020-45 & 2020-46,11,1
hx17b78b80bfcb4915fcac90f87e96cfa5bd59b452,2020-45 & 2020-46,11,1
hx5beebdab5f27090b3e44465abf17c11ab894f8ce,2020-45 & 2020-46,11,1
hx1c54d238842563de32cd0ad069a84c9914b7a3ad,2020-45 & 2020-46,11,1
hx1c9c39cc6ab3efd31048ea115119122fbc1d65a5,2020-45 & 2020-46,11,1
hx1cc7b5fb2ddeb78cbac7e839837daf4e9fdc1009,2020-45 & 2020-46,11,1
hx1ce6488ac66bf734e178eef733f2432682b532d8,2020-45 & 2020-46,11,1
hxd2a0fa9a289731cae6d0a8e8a332681ef8b2ae56,2020-45 & 2020-46,11,1
hx6d6adbb8dccbbae2c98b9710fc4c2d1caea65dbb,2020-45 & 2020-46,11,1
