IRC Token,Amount,No. of Transactions
sICX,15983660.403523846,12343
bnUSD,6031600.650912072,11389
OMM,3757001.7898659254,5102
IUSDC,6268433.930004,3170
BALN,478698.9165594081,3060
USDS,1446570.2374952196,2630
METX,2419488.2475991035,2231
GBET,1791103.0,1133
oICX,5965440.048604354,827
CFT,120959.63012159431,782
PGT,3000.0,611
oUSDS,348107.837954239,284
oIUSDC,1497958.987754,235
dIUSDC,1635015.1846440001,226
UP,37.77683134205042,190
SEED,886.626382,93
dUSDS,217680.12210307055,84
TAP,1148583.0657978035,72
LDX,4231.0,51
ICXIOU,40083.62310998,8
uMETX,19988.87794770843,4
ACT,300.0,3
EPX,1.3195,3
HGC,12500.0,2
IAM,113.2470258198817,1
uSEED,5.76989292021e-05,1
uTAP,9.35526494496584,1
