IRC Token,Amount,No. of Transactions
OMM,7413674.695066868,19563
sICX,26726418.11976706,15409
bnUSD,9596624.42852789,13034
IUSDC,21459129.005509,10760
BALN,1302505.6536204207,8765
USDS,22806482.837386608,4915
LDX,422298.078125,3301
oIUSDC,6115167.447861,1511
oUSDS,7677878.832384337,1284
oICX,3080862.2773326156,970
PGT,3000.0,836
METX,356448.53702196776,829
dIUSDC,2391585.9709799998,623
dUSDS,6442793.996802173,533
UP,0.8869121125000285,80
TAP,318077.2151060809,49
SEED,46.80083,41
EPX,1.69,2
uMETX,0.0645681277016731,1
uSEED,9.64507449e-08,1
