IRC Token,Amount,No. of Transactions
sICX,10449332.084853727,5138
bnUSD,4756182.049868673,4635
LDX,403751.0,3206
BALN,1283725.8464580274,2933
OMM,2019225.8341765902,2481
GBET,1464206.327586454,1573
USDS,593032.4064947295,719
IUSDC,323500.110621,607
oICX,2527119.168752581,325
CFT,4135965.194120827,319
METX,1061590.2338600156,288
oOMM,47285.37148151628,110
obnUSD,512514.1372083034,104
oUSDS,152754.36376472205,67
oIUSDC,35683.899577,62
dUSDS,62760.050350330166,44
TAP,1878334.5552683473,41
IUSDT,6545.041138,28
oBALN,70839.62063680767,24
dIUSDC,24003.834962,20
UP,4.936723985301069,20
dbnUSD,64618.26442445335,19
dBALN,20.23088925962924,4
ICXIOU,297.96842,1
