IRC Token,Amount,No. of Transactions
sICX,4138730.8059095615,4043
bnUSD,1446427.8024327178,3129
BALN,461166.8131419327,2399
METX,6854423.440400864,1391
OMM,1427368.5448344036,1357
GBET,945631.3948093798,1086
IUSDC,189729.25943,484
CFT,3175974.803474018,481
USDS,265641.35066468903,390
FIN,15012.147889237567,390
IWIN,839.9125,211
LDX,34865.78283012903,199
finICX,705900.5279876143,142
oICX,129902.11949781678,103
oOMM,20175.912825304513,92
obnUSD,215013.2943424907,77
TAP,603396.933607587,50
UP,5.301680320769283,50
oUSDS,100925.74546582629,40
oIUSDC,16027.389202,36
IUSDT,3488.366021,34
dIUSDC,13480.036439000001,28
dbnUSD,19274.941756105778,26
dBALN,6846.648301897411,15
oBALN,6180.2817343668685,13
dUSDS,12887.690954348796,12
