IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
FRMD,905.0,10555.277017781635,24037.47078650634,865.0,0.010455555462224132,251.32510897990937
BST,314.0,4.2094628604900715,4187.715154188234,669.0,1.3903749705629904,5822.494334230655
bnUSD,9898.0,673019.0192127463,40365.17194963646,549.0,0.9527182712385074,38456.63683810274
$unknown,,,16359.131560700436,448.0,,
sICX,12104.0,661869.5443014334,410386.480838434,440.0,0.18804323302957787,77170.40064849005
CFT,19231.0,39871.467041462725,2579743.2767334185,270.0,0.0032005495125606146,8256.596086880665
GBET,2884.0,9477.751278218811,169580.39490392854,194.0,0.00396973957182569,673.1900042559527
CROWN,1232.0,15063.274549245376,49540.77863098218,151.0,0.00521383253755071,258.2973235618118
CODE,247.0,13.180985949959936,555506.6453015583,126.0,7.711061878705482e-06,4.283546115952414
BALN,16412.0,205931.46788759588,48845.669883881776,92.0,0.06345187128955786,3099.3491585242987
FIN,2262.0,14152.68243726497,2264.7401712774817,48.0,0.07706130707124162,174.52383777539035
NPT,464.0,0.9611877749978894,714.52875,39.0,0.00018540233849628364,0.1324753011728264
BTCB,151.0,12791.921377918532,0.03342171863915973,34.0,24080.680260642013,804.8177203107449
OMM,13895.0,13458.090140744624,48442.79472227317,25.0,0.001992296169098265,96.51239434559848
USDS,5438.0,2209.8982987237814,12.485319404272404,16.0,0.16986840552927546,2.1208612997274767
IUSDC,5590.0,38883.019268085816,1.000723,8.0,0.9857972138041886,0.9865099451897691
VOID,157.0,406.5602055873245,1743.701676494431,7.0,0.007745756379402941,13.506288384482342
XCROWN,1232.0,15063.274549245376,8191.1020980927915,7.0,0.00521383253755071,42.70703463743609
TAP,9234.0,5.921781870088469,11893.706205511857,4.0,0.0002661966490269259,3.1660647364180106
IDOGE,1757.0,46.86656977109328,40960.0,2.0,1.1035360644098474e-07,0.004520083719822735
oIUSDC,5590.0,38883.019268085816,3.434249,2.0,0.9857972138041886,3.3854730957098207
oUSDS,5438.0,2209.8982987237814,1.57981999120971,2.0,0.16986840552927546,0.2683615029300674
UP,,,0.03520739402423566,1.0,0.45611876594440376,0.016058753114452744
finMICX,12104.0,661869.5443014334,30.902543320213965,1.0,0.18804323302957787,5.8110141547696195
ICX,,,,,0.155302,
