IRC Token,Amount,No. of Transactions
sICX,2348834.408154632,3803
bnUSD,3911045.4771380494,3571
OMM,2120702.868666444,3080
BALN,426325.45188881044,2621
IUSDC,5760109.202805,2008
METX,1973387.443614838,2007
USDS,2948219.2490910236,1574
CFT,750478.6012941652,793
IUSDT,10.860831,666
oIUSDC,1925786.982874,253
oICX,153810.31242894835,210
obnUSD,832447.1030589436,158
oUSDS,977929.4264013051,145
GBET,32122.0,136
dIUSDC,1348020.953313,105
dbnUSD,438093.99454289407,81
TAP,481965.30031123816,58
UP,2.0296692813739656,44
dUSDS,841080.6148737161,44
ACT,500.0,5
LDX,250.0,3
HGC,5500.0,2
SEED,0.000891,1
IAM,108.0314257688344,1
uMETX,8.523567391893982,1
