IRC Token,Amount,No. of Transactions
bnUSD,13304062.567026494,13087
sICX,21004617.433211774,10747
BALN,2226845.72967531,7914
OMM,6830931.513182683,6759
IUSDC,8558117.97714,4050
LDX,420214.078125,3222
GBET,12231653.260222888,2728
USDS,1356646.2607594687,1827
METX,5453133.2795488695,1775
PGT,6000.0,966
oICX,2170213.570043389,709
dIUSDC,1405201.277225,515
oIUSDC,1396181.436805,242
CFT,1385564.4548863645,216
dbnUSD,349116.69980672514,201
obnUSD,922645.3242741062,201
IUSDT,19032.736238,149
oUSDS,314866.19312055426,148
dUSDS,160951.35874150568,120
TAP,1010622.966747072,48
UP,4.147042361084038,40
uMETX,153.049880779881,2
SEED,172.632371,2
ACT,100.0,1
