IRC Token,Amount,No. of Transactions
bnUSD,2843828.2069451087,6262
sICX,4505844.147876016,5998
OMM,4331755.525604732,5433
BALN,468412.3017114713,3581
IUSDC,2822025.010122,3523
USDS,1603217.9884196967,2961
METX,4295770.805982577,2582
CFT,3121527.844395101,922
IUSDT,97102.808632,746
PGT,3000.0,553
oUSDS,369919.96501799644,278
oIUSDC,511179.275118,254
oICX,503754.84907219413,224
GBET,58421.0,215
dIUSDC,496656.41817099997,207
UP,16.247288656778995,190
SEED,688.074466,98
dUSDS,109865.71727754422,79
TAP,4008402.753699458,71
LDX,4708118.5,69
ICXIOU,11827.008391559999,25
ACT,600.0,6
CHKN,3.0,3
HGC,750.0,1
