IRC Token,Amount,No. of Transactions
bnUSD,3130897.6557959006,5486
sICX,3610884.637526526,5051
OMM,2253814.830339519,3511
BALN,428373.7799309156,2665
IUSDC,1460182.509744,2507
METX,2319795.1140061626,2242
USDS,2031262.8328932712,1991
PGT,6000.0,1077
CFT,46669.40073482052,677
IUSDT,4467.048543,569
oICX,1218228.9027387365,276
oIUSDC,462782.92152,222
IWIN,394.7502,221
GBET,49603.0,218
oUSDS,667254.6797632691,163
obnUSD,528901.0684274146,153
dIUSDC,173054.545935,128
dbnUSD,221668.9156074867,124
TAP,437935.23763834353,50
UP,1.238121792464487,49
dUSDS,410397.4464188389,42
ACT,1520.0,17
LDX,1750.0,3
HGC,13250.0,2
SEED,7.697279999999999,2
