IRC Token,Amount,No. of Transactions
sICX,8896920.90542711,11124
OMM,4059518.158299919,9898
bnUSD,4729188.802361287,9159
IUSDC,4628812.430888,5055
BALN,630012.7332489657,4862
USDS,3277103.8032338344,2904
METX,466970.6778934314,814
PGT,3000.0,788
oICX,1496131.4597050871,622
oUSDS,1085743.7657235267,578
dIUSDC,253385.516555,274
oIUSDC,1453832.761829,231
dUSDS,670045.9582270905,137
UP,1.5526843486911097,55
TAP,371960.47190263995,46
LDX,1820440.0,31
SEED,41.164102,28
ICXIOU,7746.95,3
HGC,104000.0,2
EPX,1.3,1
