IRC Token,Amount,No. of Transactions
sICX,3598009.0304451305,3719
bnUSD,3556265.4463426513,3647
BALN,662377.6372570939,2266
OMM,2288645.7695883517,1703
METX,1472998.9988392876,1114
IUSDC,979308.176021,998
USDS,735992.6886121748,618
GBET,1019950.5538481884,454
oICX,302684.9430776946,201
oIUSDC,260935.311887,164
CFT,323774.2195927732,111
dIUSDC,53582.420919,100
obnUSD,130659.98589763584,79
dbnUSD,248930.9201008306,67
oUSDS,312061.64194854745,65
IUSDT,11723.979255,51
TAP,730539.4829541948,47
LDX,8338.0,32
dUSDS,55579.335969431784,29
UP,2.122551202404558,25
ACT,1100.0,11
LEND5,83.5,4
ICXIOU,10010.198840000001,3
HGC,35000.0,2
SEED,0.000233,1
CRI10X,100.0,1
MRS,100.0,1
IAM,315.5114108265224,1
