delegator,week,how_many_prep_voted,raffle_tickets
hx99e3d951340ad78f48437eae250cb05f9f4d0284,2020-41,20,2
hxe67b818b6ab2967afc6ede848658c66802b8ab9c,2020-41,20,2
hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,2020-41,20,2
hx7fb6c93dc1f87902b23921b985f57988383846a5,2020-41,20,2
hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,2020-41,20,2
hx857353391e454d7fc60f4879224aade697602877,2020-41,20,2
hxccc16f51a7884823ad3928b1c3385751e4c9f368,2020-41,20,2
hxccc16f51a7884823ad3928b1c3385751e4c9f368,2020-41,20,2
hxc9838544da5b94cbf33fa4155bcd246d3059a5ac,2020-41,20,2
hxc9838544da5b94cbf33fa4155bcd246d3059a5ac,2020-41,20,2
hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,2020-41,20,2
hx7fb6c93dc1f87902b23921b985f57988383846a5,2020-41,20,2
hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,2020-41,20,2
hx857353391e454d7fc60f4879224aade697602877,2020-41,20,2
hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,2020-41,20,2
hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,2020-41,20,2
hxe67b818b6ab2967afc6ede848658c66802b8ab9c,2020-41,20,2
hx82b4acc37a019e08235724f88d4cb0f130a0a208,2020-41,19,1
hxaa60ebb314e4002f369cb07465712faa91ac112b,2020-41,19,1
hxa745e00938fb20c9b55406d21d2fa175d248ff9c,2020-41,19,1
hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,2020-41,18,1
hxf7680b84aed887350194c26bd98996312020379f,2020-41,18,1
hx5d8f854d72bb8ff9f3f8425f7cd035924b4dedde,2020-41,18,1
hx26907c177186f27613f85431237f3d68cf303528,2020-41,18,1
hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,2020-41,18,1
hx179358d62f45c8327fab772dfc3bf08b8d5c1259,2020-41,18,1
hx1cd1e371a8f885f68799aa837e287c5c442e9adb,2020-41,18,1
hx6c6cbea1f364be1be5a56f9d5b5675a3f9828366,2020-41,18,1
hx85c203bb27226345baffa75c0d3ef6d0a3132e6b,2020-41,18,1
hx1be8a72295d2a3d802c5dddc153477dafdf966c0,2020-41,18,1
hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,2020-41,18,1
hxa4556d928cfabb02caa1f07078f579638b5d4357,2020-41,17,1
hx13c863c2f8839574d795c3c6cce1aab0bd4fcae4,2020-41,17,1
hxc30aabbc541d3ad4019aa5675fc553549852130e,2020-41,17,1
hx5203a1c4db4ce125e32d81205a8bff763ff579f1,2020-41,16,1
hx53c974aa02514313dc3e5371d3703051e4825f3b,2020-41,16,1
hx87455c62c2ef3f37496fb2fef0df86fdadada87c,2020-41,16,1
hxdd3e1988cb579476efba6206819f7cd6af43f38d,2020-41,15,1
hx602d61e653c7bc72581e076ede13a18f5ab2f1b0,2020-41,15,1
hx49e57e5fed70ed214b39435032f7f84bc36eb8b2,2020-41,15,1
hx82a8319354bbdf73087c60a019563c980061f592,2020-41,15,1
hx8816f9995eb3bba5c93a9f954f36e816b9f1df8f,2020-41,15,1
hx9c9d5309ef3381e7e5d9a79c11835c0b5636abcc,2020-41,15,1
