IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,2219089.9833378796,1090.0,0.27288505249393397,605556.4865919204
FRMD,21393.328542842068,943.0,0.017319049812102024,370.5121226801458
GBET,95800.70160794038,835.0,0.009576974347983004,917.4808618180192
METX,259183.22889337112,739.0,9.0263475261036e-05,23.394778969292236
bnUSD,173543.18879582678,633.0,0.9995287066609789,173461.39904691483
OMM,1167123.5960556474,383.0,0.014237797394351576,16617.269294807338
BALN,94118.48002658549,345.0,0.15576973161031418,14660.810373311937
FIN,14741.178671164304,237.0,0.2250727356034955,3317.8374095388504
$unknown,10840.813595055512,232.0,,
CFT,1680963.9350881812,230.0,0.008005930882283994,13457.681079928096
CODE,831122.9630144833,195.0,,
IUSDC,5745.449393,91.0,0.9963533394667117,5724.497689452542
USDS,2541.732342140067,80.0,1.0002912136927689,2542.4725294014515
NPT,0.0,69.0,,
CROWN,386573.7248376517,44.0,,
oICX,510471.526459371,39.0,0.27288505249393397,139300.04929452404
VOID,4492.476399999238,16.0,,
obnUSD,32492.10861436949,15.0,0.9995287066609789,32476.795300008787
TAP,46904.993713583804,14.0,0.0008431335415516746,39.547173466192945
IAM,1104.8112630388725,10.0,0.02157890166991933,23.84061360893521
UP,0.22008880169396974,9.0,0.714783282750228,0.1573157961713796
XCROWN,145560.9907072035,7.0,,
oOMM,15847.09,7.0,0.014237797394351576,225.6276567100549
oIUSDC,11.513798999999999,6.0,0.9963533394667117,11.471812083598484
oUSDS,16.732072979665247,6.0,1.0002912136927689,16.736945588425332
FinICX,1917.8223826305248,4.0,0.2250727356034955,431.6495300602659
CLAW,2220189.721314971,4.0,,
IUSDT,0.156513,3.0,0.9925286117838087,0.15534363061611925
oBALN,35.70004749472916,3.0,0.15576973161031418,5.5609868167294305
dICX,175.3234353946841,2.0,0.27288505249393397,47.84314487109521
dIUSDC,262.840423,2.0,0.9963533394667117,261.8819332028931
finOMM,0.03987127367427089,2.0,0.014237797394351576,0.0005676791164290127
IDOGE,13110.0,2.0,,
VELT,430125.0,1.0,,
finOICX,429354.1169599074,1.0,0.27288505249393397,117164.320745091
uMETX,28.341650486110108,1.0,9.0263475261036e-05,0.0025582158675099284
ICX,,,0.2406,
