IRC Token,Amount,No. of Transactions
sICX,26224515.817709807,6525
BALN,985694.1459090867,4662
bnUSD,4145226.4237948568,3072
IWIN,149183.8085,2016
PGT,3032.2951958568565,1996
oICX,10585270.333660806,1842
USDS,2555851.7877060054,956
METX,262312.88194224547,846
IUSDC,2866255.529546,467
dUSDS,769786.9267440613,371
oUSDS,823351.0714636053,361
oIUSDC,1116732.969306,174
dIUSDC,171123.304391,155
UP,23.855767889240408,78
TAP,1468432.2622287115,64
LDX,250662.33924170688,45
SEED,525.960546,37
IAM,12619.4683,11
ACT,112.0,5
ICXIOU,3145.37482,2
uTAP,145.26455238578995,2
HGC,750.0,1
EPX,1.3,1
uMETX,50.20351556579121,1
uUP,0.3039641888605704,1
