IRC Token,Amount,No. of Transactions
sICX,4895164.982324514,4426
bnUSD,5087859.955946464,4219
BALN,900099.1544942716,2888
OMM,1642428.4794415093,2099
METX,1977216.652103237,1241
IUSDC,2448501.933868,1055
USDS,2109854.024510219,820
GBET,110743.0,243
oICX,532600.4526090217,181
oIUSDC,1074356.367809,172
CFT,691185.9633110202,139
obnUSD,605209.2122069264,122
IUSDT,37674.992963000004,89
dbnUSD,116504.60035390091,84
oUSDS,729445.7022298559,70
dUSDS,536876.6968087938,64
TAP,1881006.0529426453,59
dIUSDC,11767.983939,49
UP,105.44081305834617,36
LDX,4100.0,14
ICXIOU,26120.128810000002,10
ACT,600.0,6
LEND5,202.0,2
HGC,10250.0,2
MRPRO,100.0,1
