IRC Token,Amount,No. of Transactions
OMM,4632473.127229813,19567
sICX,13074472.06098685,13200
IUSDC,8540832.294458,12369
bnUSD,5943562.960217635,9448
BALN,794633.8244012353,4251
USDS,4750732.273091563,4068
oIUSDC,2393994.433848,2771
PGT,3000.2073305947424,1516
oICX,3590089.6455474873,1057
oUSDS,1630592.9899788767,895
METX,379995.24667361623,828
dIUSDC,1202368.28629,625
dUSDS,969314.0722643404,410
TAP,1543929.544942477,101
UP,8.157356160945797,83
SEED,619.11394,42
LDX,8172.0,21
ACT,1510.0,16
ICXIOU,3706.8999999999996,4
IAM,2170.247612818102,2
HGC,1500.0,1
EPX,1.3,1
uMETX,0.0711165959195846,1
