IRC Token,Amount,No. of Transactions
bnUSD,7614203.505495661,7146
sICX,3848015.6496853875,6652
IWIN,1338519.4247,6168
BALN,516698.794197906,3525
OMM,2882485.264330149,3094
IUSDC,1106229.9101789999,1799
USDS,2114718.803746327,1750
METX,1441414.9578308195,1649
PGT,3000.0,507
CFT,703627.6200539636,310
IUSDT,664397.370629,245
oIUSDC,325587.28826,224
obnUSD,1447203.443128775,211
GBET,68184.0,198
oICX,392411.82631455903,174
oUSDS,588459.3941672952,137
dbnUSD,471700.1928026403,111
dUSDS,493808.34667377657,98
TAP,832872.4836445492,65
dIUSDC,195426.517486,54
UP,8.929516860968276,47
LDX,2251.0,9
ACT,800.0,8
ICXIOU,4250.4,2
