IRC Token,Amount,No. of Transactions
IWIN,1216120.4031,4578
sICX,2617913.404267897,2515
BALN,351764.77814996924,2028
bnUSD,1560796.0512827144,1977
OMM,1210738.2198776596,1355
METX,1698674.236783875,1068
PGT,3000.0,479
IUSDC,128637.84242,439
GBET,1314011.3093618911,391
USDS,110466.37768642692,276
oICX,222956.035514053,113
oIUSDC,61405.96273,109
obnUSD,172741.77859304904,75
CFT,508203.982815185,59
dIUSDC,1199.185153,45
TAP,503691.00797347835,42
dUSDS,25198.803766340356,39
oUSDS,21734.938629536868,33
IUSDT,44.942978000000004,29
dbnUSD,99864.74181862142,23
UP,1.5721982029919161,21
LDX,8250.0,9
ACT,400.0,4
HGC,5500.0,2
IETH,0.00999,1
IAM,10013.716294408312,1
uMETX,182.77590405893812,1
