IRC Token,Amount,No. of Transactions
bnUSD,6182519.498455554,8968
sICX,9555855.500084309,8697
OMM,1764655.5513257317,5731
IUSDC,1823704.5183020001,3764
BALN,548918.5640006383,3720
USDS,1451458.4793835084,2533
METX,10573118.509759579,2435
CFT,1004038.6540581429,978
oIUSDC,359485.845197,968
GBET,978343.0,694
PGT,3000.0707559687976,628
oICX,1601330.0797208128,301
oUSDS,449270.3972855861,266
dIUSDC,210309.199393,131
UP,173.2072738867243,105
dUSDS,63914.06690805339,83
TAP,798797.2353432996,56
SEED,316.25232,46
LDX,4102.5390625,9
ACT,600.0,6
IUSDT,59293.730922,6
uMETX,3210.702743928059,4
uUP,120.04853775780614,4
EPX,19.61293,3
uTAP,4982.368530406296,2
IETH,0.0381326329254476,1
HGC,25000.0,1
uETH,1.7983400296588874,1
