IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,310423.98230065143,1270.0,1.0001742293459874,310478.0672680665
sICX,1146244.0338966781,1112.0,0.2071327830967931,237424.71684911379
FRMD,35065.65409282452,928.0,0.013752768418677277,482.2498201880587
BALN,219579.85241912986,368.0,0.12628431859451864,27729.49203983478
GBET,203257.8759107135,290.0,0.005103376144782398,1037.3013951618761
OMM,2073726.0510063395,264.0,0.006865104853884837,14236.346778391056
FIN,15582.292467586161,164.0,0.0719004434895623,1120.3737390035112
CFT,639820.2576250072,164.0,0.004829020813122691,3089.705340728682
CODE,1100598.2788150227,150.0,,
USDS,8462.937628491181,146.0,0.9971435608222597,8438.763761890386
$unknown,7621.3409816620115,140.0,,
IUSDC,3261.153327,105.0,0.9939715620995866,3241.4936666844537
CROWN,112844.07487764399,37.0,,
BTCB,0.06552965242601996,24.0,,
obnUSD,37550.84611430037,22.0,1.0001742293459874,37557.388573660144
METX,2822862.762327379,20.0,7.0603090265484e-05,199.30283441567346
ETH,0.022734021587695857,18.0,374.72843474762885,8.519084325076072
oICX,93081.85231389443,13.0,0.2071327830967931,19280.303125581624
oOMM,74096.11688637565,10.0,0.006865104853884837,508.6776116906757
oUSDS,18.769284151961642,9.0,0.9971435608222597,18.71567083337184
XCROWN,3819.9639149063596,8.0,,
VOID,2149.189616393257,5.0,,
UP,0.14093500322139788,5.0,0.531472035700042,0.0749030130634683
oIUSDC,5.087288,5.0,0.9939715620995866,5.056619600210482
NPT,150.6375,4.0,,
BUSD,3.995,3.0,1.0001742293459874,3.99569604623722
FinICX,3285.8335092976827,3.0,0.0719004434895623,236.25288655136822
dICX,40.588003489002546,2.0,0.2071327830967931,8.407106123019446
oBALN,32.39946943953522,2.0,0.12628431859451864,4.091544920995635
finOMM,539.5292661601536,2.0,0.006865104853884837,3.703924983928995
dOMM,9587.624189556846,2.0,0.006865104853884837,65.82004536095037
dIUSDC,3.572396,2.0,0.9939715620995866,3.550860032558315
IUSDT,0.433432,2.0,1.0175880138889175,0.44105520803590126
IDOGE,8560.0,1.0,,
ICX,,,0.178896422,
