IRC Token,Amount,No. of Transactions
IWIN,950711.0551,2941
sICX,2227168.679248642,2889
bnUSD,2819622.570321934,2596
BALN,368172.7359001511,1995
OMM,1248872.0123491234,1395
METX,670448.9399516608,1061
GBET,2512267.5419289162,971
IUSDC,197069.825041,602
USDS,448895.7097932018,436
oIUSDC,23622.219187,114
oICX,343859.47150552704,113
obnUSD,568964.1864177027,75
TAP,2230579.0244844425,74
CFT,103836.33255838638,74
dIUSDC,20472.232813000002,66
UP,6.093093991976824,43
IUSDT,22.808986,36
dbnUSD,242455.18176714817,33
LDX,179495.5,20
oUSDS,138994.412167639,19
dUSDS,3683.277278323974,12
HGC,74250.0,4
ICXIOU,384.864,1
uTAP,0.9998999999999928,1
