IRC Token,Amount,No. of Transactions
OMM,3761587.658118351,13738
IUSDC,3354961.951505,8055
sICX,4021314.4657587186,7874
bnUSD,2607744.545874792,5656
BALN,365620.9855817221,3541
USDS,4713686.011261773,3105
oIUSDC,728417.919626,2738
IWIN,153514.8291,1562
PGT,3000.0586227867334,868
METX,685769.7303977436,846
oUSDS,1500755.0872946412,650
oICX,1395554.8367814887,557
dIUSDC,370547.723525,288
dUSDS,1095658.7124012366,228
UP,22.270002378384486,84
TAP,255640.79890894913,43
SEED,1150.378195,39
LDX,1790.0,27
HGC,1250.0,2
uTAP,319.5519451172375,2
uMETX,193.70068563413648,1
uSEED,4.091257e-10,1
ACT,100.0,1
uETH,4.10822477159e-05,1
IETH,8.71123082e-07,1
EPX,1.3,1
uUP,1.9645265334975035,1
