IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,1517815.5474930236,1733.0,0.40049345963601796,607875.1997048177
bnUSD,574616.3013153002,1325.0,1.013951943986021,582633.3157647058
GBET,672820.1036953479,993.0,0.04104939835186704,27618.860455734826
METX,447936.06313083513,826.0,0.000245305424122982,109.88114594628834
BALN,236661.16593376748,769.0,0.28652192762920814,67808.61345831894
OMM,1514106.6525120623,594.0,0.02978871707482693,45103.29469279511
FIN,22001.292253226024,557.0,0.6252389696678884,13756.065299769134
IUSDC,93497.858123,210.0,0.9720038466101039,90880.27774536175
CFT,1261461.6046548414,155.0,0.01930785484714393,24356.11755792094
USDS,68446.18262891454,138.0,1.0118013773274783,69253.94185674386
finOMM,5595.442552374414,136.0,0.6252389696678884,3498.4887362824384
oICX,177209.2557989637,62.0,0.40049345963601796,70971.14793445106
obnUSD,88170.73360006415,47.0,1.013951943986021,89400.88673645862
oIUSDC,29401.029784,19.0,0.9720038466101039,28577.91404434623
IUSDT,11086.252618,19.0,1.0066497969792274,11159.973947170129
oOMM,5525.33,16.0,0.02978871707482693,164.59249211505346
finICX,16791.430352814325,13.0,0.6252389696678884,10498.656613043737
oUSDS,18962.82378461933,9.0,1.0118013773274783,19186.611223296102
CHIU,600000.0086364611,8.0,,
dUSDS,812.1508135301915,7.0,1.0118013773274783,821.7353117274798
LDX,38557.88480200296,6.0,,
finOICX,17612.45608914494,6.0,0.6252389696678884,11011.993898497909
IAM,39.999999998526754,4.0,,
IDOGE,89784222.7349443,4.0,,
UP,0.09781253248437849,3.0,1.0776950334389457,0.10541208046650023
dbnUSD,50.54534022694525,2.0,1.013951943986021,51.25054598254596
TAP,16157.34289172926,2.0,0.0009039568286662269,14.605540440080386
HGC,5000.0,1.0,,
ICX,,,0.3627459,
