IRC Token,Amount,No. of Transactions
bnUSD,25458356.588893484,21351
sICX,22728826.205841012,17836
BALN,1576313.8412405597,5590
OMM,5224457.960681756,3893
IUSDC,8253186.8646329995,3778
USDS,4006340.800685173,2516
METX,2105555.4535722937,1487
oICX,1713016.8220443996,628
PGT,3000.0,495
obnUSD,2727824.9107573386,407
oIUSDC,1928356.73741,371
oUSDS,1069830.7270611818,289
dbnUSD,863061.7032552178,265
dIUSDC,931458.063219,247
dUSDS,864505.824589509,149
CFT,579700.6162904473,135
IUSDT,19020.617598,109
GBET,5258.0,78
TAP,1391021.1411196277,60
UP,204.68085793008845,40
LDX,7250.0,6
ACT,300.0,3
ICXIOU,411.11606999,1
HGC,2000.0,1
SEED,96.022392,1
