IRC Token,Amount,No. of Transactions
sICX,8478886.4700808,6249
bnUSD,5454940.443918624,6105
BALN,1211435.7002115203,3619
OMM,2827988.131095966,2429
METX,1920747.9525763574,1131
IUSDC,685922.33388,1070
CFT,520572.8083685622,694
USDS,530620.423146359,581
GBET,774877.0660692125,525
oICX,1128961.650765805,193
oIUSDC,169866.721349,158
obnUSD,624062.4141971017,135
dIUSDC,49650.208973,86
oUSDS,149444.40244712084,57
TAP,1324232.6004666826,57
UP,5.104612203692652,39
dbnUSD,40008.94333180879,29
dUSDS,38753.01729369674,22
IUSDT,9123.290251,21
LDX,4750.0,12
LEND5,1003.9,4
HGC,7050.0,3
ICXIOU,442.829412,2
ACT,200.0,2
CRI10X,50.0,1
MRPRO,500.0,1
