IRC Token,Amount,No. of Transactions
bnUSD,9442815.448630383,7030
sICX,7506308.266155344,6869
BALN,754576.4969216882,3955
OMM,2716696.3987400467,3000
IUSDC,1267602.073011,1998
METX,5043099.819636438,1757
USDS,3016737.019763307,1468
PGT,3000.0,500
oICX,1431937.9055219656,392
CFT,652216.1022132562,237
GBET,47361.0,226
obnUSD,1168570.6681453658,206
oIUSDC,164705.012368,188
dbnUSD,662049.5545760377,165
IUSDT,1073.2604119999999,162
oUSDS,985025.7344307653,140
dUSDS,626250.6030627791,82
dIUSDC,153047.769877,62
TAP,576316.4115849677,41
UP,1.8113379329016202,40
LDX,12426.4375,9
ACT,600.0,6
IWIN,0.1428,3
ICXIOU,57.81,1
SEED,99.032571,1
