IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
METX,1608391.77556421,1474.0,8.5469785454041e-05,137.4688999835171
sICX,764316.9304717896,1243.0,0.2420161652749778,184977.05256752434
bnUSD,216528.03100676025,968.0,0.9972884646084171,215940.90758741568
FRMD,27153.023073517954,872.0,0.012906151097291828,350.4410185350741
GBET,106632.23376775175,816.0,0.008728299902042382,930.718115549628
BALN,117094.34344498359,478.0,0.14743983114082132,17264.37022507372
OMM,1300062.4121448991,357.0,0.013290269855833965,17278.180286832147
FIN,15710.13289346273,220.0,0.1827531743663156,2871.0766559969848
CODE,849071.5873025395,188.0,,
CFT,664486.8165283643,161.0,0.006641183752472353,4412.97904966025
USDS,47365.36641497858,131.0,0.9934489809855169,47055.0749989661
IUSDC,25994.115837,89.0,0.9971735044450167,25920.643584131
CROWN,118902.29746642706,53.0,,
oICX,47256.67036812152,21.0,0.2420161652749778,11436.878146156445
VOID,14152.610389571777,19.0,,
oUSDS,15948.246860888497,19.0,0.9934489809855169,15843.769592455146
obnUSD,21882.26613116018,18.0,0.9972884646084171,21822.931592097506
TAP,36751.50912747973,13.0,0.0007464149806754226,27.4318769751804
XCROWN,37625.23841886338,12.0,,
UP,0.20671592861904317,9.0,0.6327881929584311,0.13080739892656837
oIUSDC,1670.805054,9.0,0.9971735044450167,1666.0825309416255
IUSDT,16.842846,7.0,0.9949831908984755,16.758348656891627
VELT,10901335.07681764,5.0,,
oBALN,12.839289634008415,4.0,0.14743983114082132,1.8930226956062983
oOMM,13142.51,4.0,0.013290269855833965,174.66750448299643
dbnUSD,36.189746573827016,2.0,0.9972884646084171,36.09161679517967
dIUSDC,9.81578,2.0,0.9971735044450167,9.788035741461307
dICX,108.69010334021247,2.0,0.2420161652749778,26.30476201373928
CLAW,136797.34147145614,2.0,,
finUSDS,2809.4312529724907,1.0,0.1827531743663156,513.4324796446581
finICX,33.5608441788986,1.0,0.2420161652749778,8.1222668115681
ICX,,,0.213,
