week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-51,hx34d02bb86519113b653ef5ed3a68de9cfff0f2ab,100.0,100,10,0.9999,1.0001,1.0,1.0,0.99990%,1.00010%,1.00000%,1.00000%
2020-51,hx613b8c58b274bb7c9579ddc3a1a11a5bc1e02c58,16310.50602113926,100,10,1.0,16001.506021139261,1.0,163.10506021139258,0.00613%,98.10552%,0.00613%,1.00000%
2020-51,hxc35919c430476b095652bc91056ba1baf0420f9e,4000.0,100,10,0.0,1040.0,20.0,33.05785123966942,0.00000%,26.00000%,0.50000%,0.82645%
2020-51,hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,284.3583360033358,100,10,1.5792000000000002,13.659154391859326,2.714,2.843583360033358,0.55536%,4.80350%,0.95443%,1.00000%
2020-51,hx2be8c1cf96fa6685d848d7798408a3e5941a8d82,15.149799999999981,100,10,0.0001,10.0,0.0001,0.1514979999999998,0.00066%,66.00747%,0.00066%,1.00000%
2020-51,hx414742cdbec72d48568077742998810433afad1e,8132.205500000001,100,10,79.99999999999994,212.20550000000003,80.0,81.322055,0.98374%,2.60945%,0.98374%,1.00000%
2020-51,hxb0d886f01ca2697ce9961232a754bb3923142128,16002.11170000001,100,10,88.7016,255.08670000000006,157.7947,160.02111700000012,0.55431%,1.59408%,0.98609%,1.00000%
2020-51,hx114049660809114582bfc83f66833560544bf877,1919.696400000002,79,7,19.1635,424.5507,19.171,24.299954430379774,0.99826%,22.11551%,0.99865%,1.26582%
2020-51,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,1162.798,67,6,1.0,220.17669999999998,5.0,17.355194029850747,0.08600%,18.93508%,0.43000%,1.49254%
2020-51,hx049eec5560f8518cffce2ab74fce56ad31fc79c6,7323.8802000000005,56,5,1.6433,1071.6487,89.49414999999999,130.783575,0.02244%,14.63225%,1.22195%,1.78571%
2020-51,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,54639.735100000005,47,4,343.533,8685.4724,463.9852,1162.547555319149,0.62872%,15.89589%,0.84917%,2.12766%
2020-51,hxd2fe38548f3f4a8c545112582c668913a85d4b93,83239.32359999999,44,4,55.0737,3055.8755,1925.4918499999999,1891.8028090909088,0.06616%,3.67119%,2.31320%,2.27273%
2020-51,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2210.8405999999995,42,4,19.9258,131.6602,44.2792,52.639061904761896,0.90128%,5.95521%,2.00282%,2.38095%
2020-51,hxf7680b84aed887350194c26bd98996312020379f,51698.99999999741,37,3,1397.2702702701984,1397.2702702702002,1397.2702702702002,1397.2702702702002,2.70270%,2.70270%,2.70270%,2.70270%
2020-51,hxaf0882e1856ba71a69408edea4c244f706ac622e,13362.4368,37,3,108.398,397.3499,397.3498,361.1469405405405,0.81121%,2.97363%,2.97363%,2.70270%
2020-51,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,245293.6196,34,3,2392.6673,10793.346599999999,7469.421249999999,7214.518223529412,0.97543%,4.40017%,3.04509%,2.94118%
2020-51,hx42967fdffaacf8b41362b3574d631a17c320ff49,1142.0895,33,3,34.5,38.0895,34.5,34.60877272727273,3.02078%,3.33507%,3.02078%,3.03030%
