IRC Token,Amount,No. of Transactions
bnUSD,10686922.104039306,13595
sICX,9782055.68960572,12408
BALN,850098.2160474729,4169
OMM,2121923.6873874003,3598
METX,3783868.9723868635,2783
USDS,1329772.6433635934,2335
IUSDC,403917.712356,2301
CFT,242779.92540302273,770
IUSDT,81301.701708,540
oICX,2328548.540723786,281
obnUSD,1332770.303912573,231
oIUSDC,118514.591378,217
GBET,30304.0,174
oUSDS,395189.692127075,152
dbnUSD,818091.3418674943,72
TAP,3182518.9392627063,56
dUSDS,253654.57953861883,52
dIUSDC,29841.356659,43
UP,56.51651401267335,34
IWIN,44.179,21
ICXIOU,10321.75222,13
LDX,356636.0,12
ACT,900.0,9
IAM,403192.0014413241,2
BALW,0.25,1
HGC,1.0,1
