IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
FRMD,29629.835808366817,1081.0,0.011342378468344697,336.0728116934085
sICX,446699.47896643344,788.0,0.17192850788775663,76800.37489293722
GBET,446547.71430129843,547.0,0.005211749963421171,2327.2950336755994
bnUSD,48600.292438057506,448.0,0.9964518584926196,48427.85172318721
OMM,2623120.285762864,331.0,0.008106552705019584,21264.46284814269
NPT,9239.34375,279.0,,
$unknown,29657.237769115487,244.0,,
CFT,1164317.262750745,188.0,0.003796495868580975,4420.325677750713
BALN,78743.49427289401,177.0,0.10680735345690552,8410.384225236807
CODE,600698.1689843119,151.0,,
USDS,3096.2237876864992,85.0,0.9996358085795266,3095.0961695471583
FIN,6190.098652419926,66.0,0.08216341979102332,508.5996741266261
IUSDC,3111.25861,56.0,0.9970555796259651,3102.0977567598243
CROWN,1427838.2223542037,45.0,,
oOMM,263564.3597890005,36.0,0.008106552705019584,2136.5983737942765
oICX,26257.424080612112,35.0,0.17192850788775663,4514.39974315569
VOID,6208.865334521577,20.0,,
METX,320290.7005734901,13.0,5.9747107052419e-05,19.136442775058594
dICX,23441.33399763477,13.0,0.17192850788775663,4030.2335771118874
XCROWN,300032.3277238655,11.0,,
BTCB,0.025738158241443498,11.0,,
obnUSD,1165.9645406696493,10.0,0.9964518584926196,1161.8275334867656
oIUSDC,302.527524,10.0,0.9970555796259651,301.63675579462813
dOMM,154197.50586971318,10.0,0.008106552705019584,1250.0102083153965
ETH,0.41003599945977154,9.0,312.73378574234977,128.23211040170244
oBALN,2667.0887064926046,8.0,0.10680735345690552,284.8646861752766
oUSDS,9.977973500847517,6.0,0.9996358085795266,9.974339608504797
TAP,49721.4628846299,6.0,0.0005231913456095802,26.01383907228632
UP,0.33924663021187496,6.0,0.44354590238823366,0.1504714527294935
dBALN,4549.394986470628,3.0,0.10680735345690552,485.90883833504233
IAM,92.6388530699138,2.0,0.011177272196949256,1.0354496767756147
IUSDT,200.991591,2.0,0.9810183277219967,197.17643448900353
dIUSDC,42.121114999999996,2.0,0.9970555796259651,41.99709273081693
IDOGE,5720.0,1.0,,
ICX,,,0.1493,
