IRC Token,Amount,No. of Transactions
bnUSD,10630055.062286163,13316
sICX,8675938.815196743,11072
BALN,1404620.3161526832,3599
OMM,8116829.385709662,2846
USDS,2121255.2467178,1834
METX,7103167.4276577905,1401
IUSDC,3346833.948286,1355
GBET,1439936.5341140702,1000
obnUSD,1277428.6718508804,283
oICX,1008395.7749566977,236
oOMM,573465.172984427,143
oIUSDC,1111686.204858,121
CFT,1588071.2603280907,116
dbnUSD,428033.9460435322,108
oUSDS,323768.04212135886,105
dUSDS,275183.0498521568,74
TAP,1391003.8767066002,65
oBALN,144852.42590406284,60
dIUSDC,328338.080384,58
IUSDT,252.16681799999998,42
UP,2.7897385092341906,40
dBALN,21452.36968870023,17
LDX,3251.0,6
SPORTS,5.9,4
LEND5,1200.0,4
CRI10X,200.0,2
SSX,100.5,1
HGC,20000.0,1
ACT,100.0,1
