IRC Token,Amount,No. of Transactions
sICX,14518998.336947644,7243
bnUSD,6300820.82340341,6089
IWIN,9845.055,4015
BALN,1310500.8244619113,3504
LDX,444569.58223339845,3299
OMM,4148345.0423454484,2048
IUSDC,2779274.718402,1321
METX,2007506.9414130317,1280
GBET,653737.9944610144,1172
USDS,877440.0931529916,814
CFT,10509456.808034236,704
FIN,18136.91821897792,470
oICX,1101680.0202054237,384
finICX,1385292.4325321475,379
obnUSD,353078.4853043722,136
IAM,13733.172267120195,120
oIUSDC,433471.565376,107
TAP,865112.662509641,101
dIUSDC,332266.852666,99
oOMM,79905.60732646137,85
dbnUSD,137674.43315202437,83
oUSDS,227009.90032027973,74
IUSDT,26748.521687,60
UP,2.6421236693867174,44
dUSDS,82158.09347704021,40
oBALN,165722.45410045996,38
dBALN,359.1360842914827,6
HGC,3000.0,2
SEED,4.143772,1
