address,block_id,datetime,rewards
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,19552144,2020-06-01 18:13:23,53995.721484976862507722
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,18225497,2020-05-01 17:40:45,33241.989918474324554973
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,17021548,2020-04-03 13:34:37,49993.347056867457975763
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,15607663,2020-03-01 11:50:20,30376.206392924676464434
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,14361728,2020-02-01 08:54:55,18956.191237071481634987
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,13590386,2020-01-14 08:39:53,20283.135667978677571304
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,13077960,2020-01-02 09:27:01,20675.701653018247211969
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,12394026,2019-12-17 10:24:13,22583.775319953311865571
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,11624113,2019-11-29 08:22:12,31709.870916336681572861
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,10707074,2019-11-06 15:09:09,3760.537930404937008411
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,10620855,2019-11-04 14:19:14,1868.701447718165922061
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,10577790,2019-11-03 14:09:54,100.620772379644709787
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,10535160,2019-11-02 14:05:15,3835.433910226662472683
hx168d2cfe6d73acb8cb690d3abda54d3af266addf,10448374,2019-10-31 12:51:16,1934.461779206266403981
