IRC Token,Amount,No. of Transactions
sICX,8197166.752695447,2923
bnUSD,1887350.1229123937,2846
BALN,496474.19096085976,1917
OMM,1920977.3622072067,1534
METX,1006417.8802674835,1017
IUSDC,3455015.239983,692
USDS,327746.7696862913,688
GBET,1242121.5992663938,519
oIUSDC,1565051.628464,122
oICX,222521.09223927633,111
dIUSDC,386501.87604199996,64
CFT,146760.9776657744,63
dbnUSD,64890.720790507585,63
obnUSD,156573.49192590843,62
LDX,218913.0,54
dUSDS,39271.252771534346,51
TAP,915854.0125338959,49
IUSDT,16612.352646,44
oUSDS,83308.17380512507,34
UP,2.788894766157057,29
LEND5,436.05,6
uMETX,390.3445502558606,2
MRPRO,75.0,2
IRFOX,10.99,2
HGC,5000.0,1
CRI10X,50.0,1
SPORTS,1.5,1
