biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-45 & 2020-46,hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,1036.7643,26,2,20.7352,82.9412,41.47055,39.875550000000004,1.99999%,8.00001%,4.00000%,3.84615%
2020-45 & 2020-46,hx7301714168f31c464fd766bad237b9a99c14824c,2617.371000000001,25,2,103.9943,121.5055,103.9944,104.69484000000004,3.97323%,4.64227%,3.97324%,4.00000%
2020-45 & 2020-46,hxf159b2029f3d6e8823157033ada47b76e8903a4f,619.4294182716101,25,2,1.371961950484824,64.93149732357978,20.76282793422435,24.777176730864404,0.22149%,10.48247%,3.35193%,4.00000%
2020-45 & 2020-46,hxcaf3a1285478520ad520d34d470aed54d49c4774,23193.909499999998,24,2,301.7483,3567.7801,845.68175,966.4128958333332,1.30098%,15.38240%,3.64614%,4.16667%
2020-45 & 2020-46,hx6aee4d81a36e730ef217616542ed7c654829ead2,2999.0093,23,2,59.9801,180.2131,120.1421,130.39170869565217,2.00000%,6.00909%,4.00606%,4.34783%
2020-45 & 2020-46,hx6f14ffadd92861068f841977cbff6264e9d5b065,344.81140000000005,23,2,1.0167,64.6715,5.1077,14.991800000000001,0.29486%,18.75562%,1.48130%,4.34783%
2020-45 & 2020-46,hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,10018.0361,23,2,196.18959999999998,810.0657,392.2957,435.5667869565217,1.95836%,8.08607%,3.91589%,4.34783%
2020-45 & 2020-46,hxece32238259e951b9931aee279d0d81e43a26990,1001.7719,23,2,0.0,50.0,50.0,30.356724242424242,0.00000%,4.99116%,4.99116%,3.03030%
2020-45 & 2020-46,hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,241.6441,23,2,1.7692,29.8749,10.0,10.506265217391304,0.73215%,12.36318%,4.13832%,4.34783%
2020-45 & 2020-46,hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,6604.370075750002,23,2,0.0,566.3937645769947,254.8682114894534,254.01423368269238,0.00000%,8.57605%,3.85908%,3.84615%
2020-45 & 2020-46,hx171a92e51f8f199d509c61699897bdc93f265761,2529.044,23,2,50.5808,379.3566,75.8713,109.95843478260869,2.00000%,15.00000%,3.00000%,4.34783%
2020-45 & 2020-46,hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,478.04330000000004,23,2,6.2176,86.089,20.0,20.784491304347828,1.30064%,18.00862%,4.18372%,4.34783%
2020-45 & 2020-46,hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,38099.8017,22,2,745.6016,3807.4334,1864.0039,1731.8091681818184,1.95697%,9.99332%,4.89242%,4.54545%
2020-45 & 2020-46,hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,1017.9877,22,2,45.9877,49.0,46.0,46.27216818181818,4.51751%,4.81342%,4.51872%,4.54545%
2020-45 & 2020-46,hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,79351.29560000001,21,2,2209.7161,6965.110800000003,3724.4178,3778.6331238095245,2.78473%,8.77756%,4.69358%,4.76190%
2020-45 & 2020-46,hx9a50175b8990abf883182baf0a97bf28191d6435,25131.397399999998,21,2,503.3545999999999,2017.8633,1010.4797000000001,1196.7332095238094,2.00289%,8.02925%,4.02079%,4.76190%
2020-45 & 2020-46,hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,220.359,21,2,10.0,15.359000000000002,10.0,10.493285714285715,4.53805%,6.96999%,4.53805%,4.76190%
2020-45 & 2020-46,hx77035912d806f04dad1a0d33ba6014effcc7fbc0,20014.0,21,2,14.0,1000.0,1000.0,953.047619047619,0.06995%,4.99650%,4.99650%,4.76190%
2020-45 & 2020-46,hxac10537896b44850e68db5d5ef50d57af82953da,2755.1885,21,2,20.0,300.0,100.0,131.19945238095238,0.72590%,10.88855%,3.62952%,4.76190%
2020-45 & 2020-46,hx624cc71bdd83371ed6ed32ba06c705e8d586244c,32516.187400000003,21,2,10.0,25541.9238,56.8865,1548.3898761904763,0.03075%,78.55141%,0.17495%,4.76190%
2020-45 & 2020-46,hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,10048.835899999998,21,2,122.64909999999962,1077.2338,415.7444999999999,478.5159952380952,1.22053%,10.71999%,4.13724%,4.76190%
2020-45 & 2020-46,hx3c117f6c88806a9a37f5602ab884568d71138239,8664.3614,21,2,350.8427,524.2645000000001,350.8427,412.5886380952381,4.04926%,6.05082%,4.04926%,4.76190%
2020-45 & 2020-46,hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,4933.8809,21,2,40.4637,835.1339,98.3317,234.94670952380952,0.82012%,16.92651%,1.99299%,4.76190%
2020-45 & 2020-46,hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2283.9844000000007,21,2,6.5012,627.0958,79.4095,108.76116190476193,0.28464%,27.45622%,3.47680%,4.76190%
2020-45 & 2020-46,hx99e3d951340ad78f48437eae250cb05f9f4d0284,21617.237999999998,20,2,216.3552999999999,2646.6874999999995,433.77700000000004,1080.8618999999999,1.00085%,12.24341%,2.00663%,5.00000%
2020-45 & 2020-46,hxb17745d715f488307816fb9d2861bc2d08c39e5c,1034.0,20,2,31.02,103.4,51.7,51.7,3.00000%,10.00000%,5.00000%,5.00000%
2020-45 & 2020-46,hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,11877.4984,20,2,0.0,2377.4984,500.0,539.8862909090909,0.00000%,20.01683%,4.20964%,4.54545%
2020-45 & 2020-46,hx6df7bc87eb3a0a7c38ec7edca32d82a3595071d9,1269.6597000000004,20,2,26.7933,406.2323,44.6556,63.48298500000002,2.11027%,31.99537%,3.51713%,5.00000%
2020-45 & 2020-46,hx6c4f4f44ae546e57eac829897ed94337fdad47af,5604.4105,20,2,150.0,500.0,200.0,280.220525,2.67646%,8.92154%,3.56862%,5.00000%
2020-45 & 2020-46,hxa745e00938fb20c9b55406d21d2fa175d248ff9c,1775.8172000000002,20,2,18.3565,300.0,80.0,88.79086000000001,1.03369%,16.89363%,4.50497%,5.00000%
2020-45 & 2020-46,hx6017e7e70f316db3dc5eeeb955fc9fe9713a4bb2,6673.928100000001,20,2,330.0,335.0000000000007,335.0,333.696405,4.94461%,5.01953%,5.01953%,5.00000%
2020-45 & 2020-46,hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,50395.5172,20,2,105.4244,9413.5175,1724.45485,2519.77586,0.20919%,18.67928%,3.42184%,5.00000%
2020-45 & 2020-46,hxccc16f51a7884823ad3928b1c3385751e4c9f368,9621.058799999999,20,2,121.0588,500.0,500.0,481.0529399999999,1.25827%,5.19693%,5.19693%,5.00000%
2020-45 & 2020-46,hxc9838544da5b94cbf33fa4155bcd246d3059a5ac,2940.9525,20,2,115.4226,519.4022,115.4227,147.04762499999998,3.92467%,17.66102%,3.92467%,5.00000%
2020-45 & 2020-46,hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,853377.4333,20,2,696.4701,55718.6231,50632.6541,42668.871665,0.08161%,6.52919%,5.93321%,5.00000%
2020-45 & 2020-46,hx857353391e454d7fc60f4879224aade697602877,335.15999999999997,20,2,6.7032,23.4613,16.758,16.758,2.00000%,7.00003%,5.00000%,5.00000%
2020-45 & 2020-46,hxe67b818b6ab2967afc6ede848658c66802b8ab9c,460.0,20,2,23.0,23.0,23.0,23.0,5.00000%,5.00000%,5.00000%,5.00000%
2020-45 & 2020-46,hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,703.9411000000001,20,2,9.3244,211.45710000000003,24.812649999999998,35.197055000000006,1.32460%,30.03903%,3.52482%,5.00000%
2020-45 & 2020-46,hxf7680b84aed887350194c26bd98996312020379f,51138.9999999986,19,1,2691.5263157893987,2691.5263157894005,2691.5263157893996,2691.5263157894,5.26316%,5.26316%,5.26316%,5.26316%
2020-45 & 2020-46,hx40bc58ea43241b88e13e3e2b54db0eefa73108fd,147978.34370000003,19,1,291.0607,30647.567699999996,5362.6061,7788.33387894737,0.19669%,20.71085%,3.62391%,5.26316%
2020-45 & 2020-46,hx82b4acc37a019e08235724f88d4cb0f130a0a208,35257.529599999994,19,1,752.2604,3000.0,1769.7059,1855.6594526315787,2.13362%,8.50882%,5.01937%,5.26316%
2020-45 & 2020-46,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,168.82949999999994,19,1,3.9872,16.232,8.482000000000001,8.885763157894734,2.36167%,9.61443%,5.02400%,5.26316%
2020-45 & 2020-46,hx82a8319354bbdf73087c60a019563c980061f592,33117.032,19,1,332.3311,5152.6641,1515.0845,1743.0016842105263,1.00351%,15.55895%,4.57494%,5.26316%
2020-45 & 2020-46,hx7fb6c93dc1f87902b23921b985f57988383846a5,3193.1472000000003,18,1,0.0,188.7836,176.62484999999998,159.65736,0.00000%,5.91215%,5.53137%,5.00000%
2020-45 & 2020-46,hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,5900.9314,18,1,213.4852,500.0,300.0,327.82952222222224,3.61782%,8.47324%,5.08394%,5.55556%
2020-45 & 2020-46,hx5d8f854d72bb8ff9f3f8425f7cd035924b4dedde,18.999999999,18,1,1.0555555554999998,1.0555555555000007,1.0555555555,1.0555555555,5.55556%,5.55556%,5.55556%,5.55556%
2020-45 & 2020-46,hx179358d62f45c8327fab772dfc3bf08b8d5c1259,1624.9341,18,1,40.5453,170.0,76.98294999999999,90.27411666666666,2.49520%,10.46196%,4.73760%,5.55556%
2020-45 & 2020-46,hx1cd1e371a8f885f68799aa837e287c5c442e9adb,44882.76689999999,18,1,200.0,9221.8106,2222.0705000000003,2493.4870499999993,0.44561%,20.54644%,4.95083%,5.55556%
2020-45 & 2020-46,hx26907c177186f27613f85431237f3d68cf303528,41791.803400000004,18,1,1474.4764,4233.4072,2364.66005,2321.7668555555556,3.52815%,10.12975%,5.65819%,5.55556%
2020-45 & 2020-46,hx35684b6a38b8e7b54ad385a2b986d09c8bc83f61,4744.441900000001,18,1,0.0,857.0828,237.26940000000002,206.2800826086957,0.00000%,18.06499%,5.00100%,4.34783%
