biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-45 & 2020-46,hx5b038a80b468ed9b581f666bbcd01316f4782ba3,16027.835399999996,13,1,416.46819999999985,2253.1070000000004,1248.7275,1232.9104153846151,2.59841%,14.05746%,7.79099%,7.69231%
2020-45 & 2020-46,hx261bef2e1e9abac57941b8f45541afa25a9eacbb,411.4071,13,1,30.0,51.40710000000001,30.0,31.646700000000003,7.29205%,12.49543%,7.29205%,7.69231%
2020-45 & 2020-46,hx9b7a327acaa261572c77722c44a4090f16dc4c98,100602.20390000001,13,1,0.0,11428.3663,8377.74005,7185.871707142857,0.00000%,11.35996%,8.32759%,7.14286%
2020-45 & 2020-46,hx2835a19c583698904afd1c77d99112a5b840e032,4270.6171,13,1,299.1238,341.963,341.5055,328.5090076923077,7.00423%,8.00734%,7.99663%,7.69231%
2020-45 & 2020-46,hx2b7fd14ca47f8f2e54bafd31b276e7be379b2162,12239.6482,13,1,247.2657,2203.1367999999998,979.1718,941.5114,2.02020%,18.00000%,8.00000%,7.69231%
2020-45 & 2020-46,hx3fe703490d6f0b30bf1e0aaf96bc7050597a943b,7355.2596,13,1,155.2596,600.0000000000001,600.0,565.7892,2.11086%,8.15743%,8.15743%,7.69231%
2020-45 & 2020-46,hx6e0a36493b252832790bcb9517fefc691a9840c3,9790.836399999998,13,1,102.3677,1957.9279,598.0639,753.1412615384614,1.04555%,19.99756%,6.10840%,7.69231%
2020-45 & 2020-46,hxa7b3f39a318d7242dc06908deda20676609d2630,1770.2075,13,1,35.5996,287.0091,147.0,136.1698076923077,2.01104%,16.21330%,8.30411%,7.69231%
2020-45 & 2020-46,hx5932011663f6331c69ce91a83c486897f157dadb,3242.1526,12,1,101.97200000000001,577.9393,259.9736,270.1793833333333,3.14519%,17.82579%,8.01855%,8.33333%
2020-45 & 2020-46,hxab84e5c20bdde1ce5636b8c323a08057c3eeb377,80528.92480000001,12,1,246.7786,12944.4401,5702.57245,6710.743733333334,0.30645%,16.07427%,7.08140%,8.33333%
2020-45 & 2020-46,hx80d5d40ee80db11100e4beea7c6d07921e1dc87a,1158.2255000000002,12,1,11.5881,250.45510000000002,64.1608,96.51879166666669,1.00050%,21.62404%,5.53958%,8.33333%
2020-45 & 2020-46,hx4ecf40ccbc51e1f2a3d21a8bda45414add51fd73,23567.0502,12,1,23.9858,2341.618,2228.0849500000004,1963.9208500000002,0.10178%,9.93598%,9.45424%,8.33333%
2020-45 & 2020-46,hx9824d726914f87720e579332e0baa24ee1543277,21664.4208,12,1,1175.307,3175.2929999999997,1630.1156500000002,1805.3684,5.42506%,14.65672%,7.52439%,8.33333%
2020-45 & 2020-46,hx502d1ba22f1da5745830bb71b7dcb68e77a9c3a7,120427.07406711852,12,1,1019.1196300464107,11999.910548003048,10572.059488275796,10035.58950559321,0.84625%,9.96446%,8.77881%,8.33333%
2020-45 & 2020-46,hxd32087b5cb414cca8af65d10efa339e72fc105d5,27316.52973454459,12,1,50.222663261773,6054.417176763057,2042.8353764521314,2276.377477878716,0.18385%,22.16393%,7.47839%,8.33333%
2020-45 & 2020-46,hx5431f4aa69a654d2d355b4cac7fa1e65865fb1a1,507.3680999999999,12,1,20.3052,76.1154,40.5055,42.280674999999995,4.00206%,15.00201%,7.98345%,8.33333%
2020-45 & 2020-46,hx574cd24f06b6d991e00424193e76f3113897364c,3197.3012,12,1,252.5181,316.46290000000005,252.8735,266.44176666666664,7.89785%,9.89781%,7.90897%,8.33333%
2020-45 & 2020-46,hxd6065022196e9be0026baa4b6ebed925102fa170,697.2288,12,1,16.2175,80.6035,59.2034,58.102399999999996,2.32599%,11.56055%,8.49124%,8.33333%
2020-45 & 2020-46,hx7c3cc3611ee50a8db0362a16abccbd208b70b22a,38605.6574,12,1,2321.5943,4806.0685,2875.2897,3217.1381166666665,6.01361%,12.44913%,7.44785%,8.33333%
2020-45 & 2020-46,hx76b8a2adfd79e3b1719a11e44c293f369dd3c817,3385.1524000000004,12,1,49.2154,594.8617,252.3127,282.09603333333337,1.45386%,17.57267%,7.45351%,8.33333%
2020-45 & 2020-46,hxe7ac3cddbc151c6bff08a9e9d37cab9467619636,32539.699288277898,12,1,0.0,7518.388593875739,1811.745705376738,2324.2642348769928,0.00000%,23.10528%,5.56780%,7.14286%
2020-45 & 2020-46,hxe79696489e108bc2a0b2f9253a241815179193e9,138621.0487,12,1,4621.0487,30000.0,5000.0,11551.754058333334,3.33358%,21.64173%,3.60696%,8.33333%
2020-45 & 2020-46,hx7161b1f236e9f8541c00b8b79d8b549cbe2f29be,91829.25850000001,12,1,681.7275,40685.9256,1351.59195,7652.438208333334,0.74239%,44.30606%,1.47185%,8.33333%
2020-45 & 2020-46,hx5e2908097689627b16532de3047fc61bc8ee726c,106706.6443,12,1,3214.1553000000004,11145.719899999998,9363.723849999998,8892.220358333334,3.01214%,10.44520%,8.77520%,8.33333%
2020-45 & 2020-46,hx60f200b8f2855d176ce080f19ec435da821c200c,23750.9313,12,1,1156.2,4699.3568000000005,1503.06,1979.244275,4.86802%,19.78599%,6.32843%,8.33333%
2020-45 & 2020-46,hx790cec91b0d3281d1af5cca2e2c1ecee66e5b1ad,3972.2664000000027,12,1,33.494999999999095,865.8243999999993,264.8636000000007,331.0222000000002,0.84322%,21.79674%,6.66782%,8.33333%
2020-45 & 2020-46,hx62207d1640bf8e1fefe9bcfe64366cbbd7ce3330,1119.3479,12,1,20.1194,218.8909,50.96554999999999,93.27899166666667,1.79742%,19.55522%,4.55315%,8.33333%
2020-45 & 2020-46,hx62f7306b2681eaf46744ec968acbbab3cfb95373,3050.6019,12,1,201.206,309.94059999999996,248.04775,254.216825,6.59562%,10.15998%,8.13111%,8.33333%
2020-45 & 2020-46,hxdeb908625fcab32473b9ab4798fb140bdd290324,853.9134,12,1,50.0,203.9134,50.0,71.15945,5.85539%,23.87987%,5.85539%,8.33333%
2020-45 & 2020-46,hxdec4c87088f4005c6613089533f25f9336ba402b,3309.1825,12,1,13.7239,944.0889999999999,119.59450000000001,275.7652083333333,0.41472%,28.52937%,3.61402%,8.33333%
2020-45 & 2020-46,hx4d8b4d765319042b4b91cdc4ea32f35d325cde6a,82300.4391,12,1,950.4291,27153.110699999997,3755.675,6858.369925,1.15483%,32.99267%,4.56337%,8.33333%
2020-45 & 2020-46,hxc071ae3c92882a051ab328042e12a666419fe58a,132369.20799999998,12,1,5038.4007,20817.571299999996,9311.9257,11030.767333333331,3.80632%,15.72690%,7.03481%,8.33333%
2020-45 & 2020-46,hx36dd546d61fbc6ac7f7b1af2f7b4776eacb0b326,44935.4097,12,1,755.9300999999996,9249.0468,3081.1418000000003,3744.6174749999996,1.68226%,20.58298%,6.85682%,8.33333%
2020-45 & 2020-46,hx304793fef6c301c7b01c4d6918b60aaae6c3ee19,10267.8315,12,1,237.7625,1207.196,1038.32075,855.6526250000001,2.31561%,11.75707%,10.11237%,8.33333%
2020-45 & 2020-46,hx86224a68a3a332e7f334efa0fe8bd13bbac28d70,7092.974899999999,12,1,346.9746,1178.3376,519.9187,591.0812416666666,4.89181%,16.61274%,7.33005%,8.33333%
2020-45 & 2020-46,hx3ee1c2d14a10919cdda370504dfd95758135e1c1,20454.1075,12,1,497.8878,1991.8821,1891.43755,1704.508958333333,2.43417%,9.73830%,9.24723%,8.33333%
2020-45 & 2020-46,hx1a329df439db3f019523d56d7945d37d35bf4f38,6570.369500000002,12,1,0.0,747.5307000000003,223.76535,273.7653958333334,0.00000%,11.37730%,3.40567%,4.16667%
2020-45 & 2020-46,hx303aaec9df00dccdca686c9730f7d08453a3025b,181.91059928934777,12,1,4.3525000665571,33.48077118056981,12.154732708668387,15.159216607445648,2.39266%,18.40507%,6.68171%,8.33333%
2020-45 & 2020-46,hx09eca3e3cb0d74a427426f8f328ed4da18f13fa7,59493.89039999999,12,1,599.3673,10723.0269,5110.0232,4957.824199999999,1.00744%,18.02374%,8.58916%,8.33333%
2020-45 & 2020-46,hx21633046abd1d663d236f9adb0adf4bdc340b8c0,13081.282,12,1,1000.0,1929.8501999999999,1000.0,1090.1068333333333,7.64451%,14.75276%,7.64451%,8.33333%
2020-45 & 2020-46,hx202d64a9642337af9b575825aa602eb16a436285,2392.9757999999997,12,1,183.8708,200.9105,200.9105,199.41464999999997,7.68377%,8.39584%,8.39584%,8.33333%
2020-45 & 2020-46,hx1ef3d6019d3f815e2cfb53dd52fa9a38975c9da0,348.0,12,1,28.249999999999993,37.24999999999999,28.25,29.0,8.11782%,10.70402%,8.11782%,8.33333%
2020-45 & 2020-46,hxfd1d9ff6a7f50c2314ae57fa9ad386fac3063ca8,1220.6049000000003,12,1,12.1013,810.7879,35.5213,101.71707500000002,0.99142%,66.42509%,2.91014%,8.33333%
2020-45 & 2020-46,hxfcfa8585fe2e5a7d96b154b54b697bb477b4fe30,24705.627799999995,12,1,900.4172000000001,4912.401,1650.0,2058.8023166666662,3.64458%,19.88373%,6.67864%,8.33333%
2020-45 & 2020-46,hx9149c2de46219ca2ed05cfdca5eff35fb9725319,5765.9626,12,1,0.0,500.0,500.0,339.1742705882353,0.00000%,8.67158%,8.67158%,5.88235%
2020-45 & 2020-46,hxb106e5baab67f48c06149832a0a4baee97c9362a,11989.7,12,1,121.56409999999994,2000.0,1109.0,999.1416666666668,1.01390%,16.68098%,9.24961%,8.33333%
2020-45 & 2020-46,hx49d49a4ae9a0a21ad72aadb4579c29817ed64075,10149.4202,12,1,75.7483,3800.6139999999996,511.82134999999994,845.7850166666667,0.74633%,37.44661%,5.04286%,8.33333%
2020-45 & 2020-46,hx4ae2b9bd8264a9fe4090fcdc917538c860020838,3821.3753419595614,12,1,99.99999999999999,630.437238262389,266.1310093126216,318.44794516329677,2.61686%,16.49765%,6.96427%,8.33333%
2020-45 & 2020-46,hxc671a96e9372e17a95f075e60c10d16daa6fa041,7510.768399999999,12,1,67.67629999999997,1878.7410999999995,451.1749,625.8973666666666,0.90106%,25.01397%,6.00704%,8.33333%
2020-45 & 2020-46,hxaf0882e1856ba71a69408edea4c244f706ac622e,13204.300800000003,12,1,45.4551,1314.7123,1314.7122,1100.3584000000003,0.34424%,9.95670%,9.95670%,8.33333%
2020-45 & 2020-46,hxc54f2d3584b149ece803993969c73fb31bde304e,5237.5686,12,1,7.6753,4999.98,17.63595,436.46405,0.14654%,95.46376%,0.33672%,8.33333%
2020-45 & 2020-46,hx979089bf1f73d349fe67c30ed0ce72a8801ba221,4286.207836846434,11,1,0.0,2955.5618463307155,3.417599955887849,357.1839864038695,0.00000%,68.95517%,0.07973%,8.33333%
2020-45 & 2020-46,hx7614bf5f9584cda17cf739d63b0e2395fc9edb6b,4508.5978,11,1,30.006,457.2717,445.3483,409.8725272727272,0.66553%,10.14222%,9.87776%,9.09091%
2020-45 & 2020-46,hx9303ad305fa3f55f6555ece02867e1e7a9a86ae2,5235.398995490068,11,1,54.901165061206726,1109.9925294783252,464.3650077393563,475.9453632263698,1.04865%,21.20168%,8.86972%,9.09091%
2020-45 & 2020-46,hx9213dfd0eba46fefff91b5ddc0ccb105a10c0f70,14366.419400000002,11,1,1144.5762000000002,1373.734,1328.6803,1306.0381272727275,7.96702%,9.56212%,9.24851%,9.09091%
2020-45 & 2020-46,hx9b783c5ac6e4d62bf5b948e47ba424266085ad3d,10047.322,11,1,101.9162,1684.3622999999998,855.112,913.3929090909091,1.01436%,16.76429%,8.51084%,9.09091%
2020-45 & 2020-46,hx75b0ddef1b30693a4805e129c447cb23b6593102,542.4144,11,1,44.4644,50.0,49.7665,49.3104,8.19750%,9.21804%,9.17500%,9.09091%
2020-45 & 2020-46,hx93aea0ed766e05ea3d0e14b99df441b6cd3e2c92,12601.487200000001,11,1,349.18,2050.0,1120.0,1145.5897454545457,2.77094%,16.26792%,8.88784%,9.09091%
2020-45 & 2020-46,hxf277418952673e86896d06fc69e83730daeb620f,193.1796,11,1,5.7911,29.7309,17.7872,17.561781818181817,2.99778%,15.39029%,9.20760%,9.09091%
2020-45 & 2020-46,hx930a0c5a56ee3cfb3139a440b6fd29a029aefba8,2060.8001,11,1,11.79,606.02,116.15899999999999,187.34546363636363,0.57211%,29.40702%,5.63660%,9.09091%
2020-45 & 2020-46,hx7218420a922b7c23dd029b0f4655586cab81c3cf,18826.138099999996,11,1,1071.0327,3361.5604,1153.5005999999998,1711.4670999999996,5.68907%,17.85582%,6.12712%,9.09091%
2020-45 & 2020-46,hx85c203bb27226345baffa75c0d3ef6d0a3132e6b,140860.7618,11,1,1469.6642000000002,26921.625099999997,10650.5333,12805.5238,1.04335%,19.11222%,7.56104%,9.09091%
2020-45 & 2020-46,hx78f86dde0721069b1edb057b255d348328493885,3864.7715,11,1,160.8125,803.9712000000001,250.0,351.34286363636363,4.16098%,20.80255%,6.46869%,9.09091%
2020-45 & 2020-46,hx93db169bccfe9a8afd6897eb54d4fc5a8d87d25a,3682.6573,11,1,74.435,781.1888,223.3052,334.78702727272724,2.02123%,21.21264%,6.06370%,9.09091%
2020-45 & 2020-46,hx88d7523fabfc3d2a9933c192455972d64fe14cf0,1108.0,11,1,9.67002114784808,316.6789218265433,49.63217917818071,100.72727272727273,0.87275%,28.58113%,4.47944%,9.09091%
2020-45 & 2020-46,hxee289e9b7f9dae26ee3cdebd8e7a2468ec89dffa,11476.7821,11,1,1000.0,1214.7433,1000.0,1043.3438272727274,8.71324%,10.58435%,8.71324%,9.09091%
2020-45 & 2020-46,hxf3fd1a943fc432579c01b3b7cc7ca18276f347f9,174.7397,11,1,4.1367,58.737300000000005,10.8697,15.885427272727272,2.36735%,33.61417%,6.22051%,9.09091%
2020-45 & 2020-46,hxf015f787653f3d0c61d49e451e0b987bf487a86b,5125.8623,11,1,207.2264,1100.0,260.0,465.9874818181818,4.04276%,21.45980%,5.07232%,9.09091%
2020-45 & 2020-46,hxf754a10fab77d038fcaa4d1bdae2f4a602c22601,856.0350000000002,11,1,17.142,98.8833,82.4026,77.82136363636366,2.00249%,11.55132%,9.62608%,9.09091%
2020-45 & 2020-46,hx9617803890b0c6909ca34e07c7a4b5acd4514e51,22757.039099999995,11,1,867.6519999999994,6625.4506,1323.9585999999995,2068.821736363636,3.81268%,29.11385%,5.81780%,9.09091%
2020-45 & 2020-46,hx7b940c6efec34d3991c9b917362bb1515fe46d4b,98415.5722,11,1,7730.6486,10541.7934,8863.7928,8946.8702,7.85511%,10.71151%,9.00649%,9.09091%
2020-45 & 2020-46,hx99d66cd80b8c2d45f2ec033cf6d17c5b737a7b2e,99565.6754,11,1,1737.2927,46016.37789999999,4385.6204,9051.425036363637,1.74487%,46.21711%,4.40475%,9.09091%
2020-45 & 2020-46,hxedd3c4a4dd9e236f02e785998007875619dafedf,611.1809999999999,11,1,54.2654,65.9663,54.2655,55.56190909090908,8.87878%,10.79325%,8.87879%,9.09091%
2020-45 & 2020-46,hx8c66e93216fa30a0e89e3678996fc7ea42576d34,762.5636217102152,11,1,5.63347467808428,197.29954280531402,52.4381108620325,69.32396561001957,0.73875%,25.87319%,6.87656%,9.09091%
2020-45 & 2020-46,hxf46bd1f322efcf99b24c037123b5037ac7986d82,4641.6731,11,1,202.35720000000003,624.7719000000001,400.3999,421.97028181818183,4.35957%,13.46006%,8.62620%,9.09091%
2020-45 & 2020-46,hxf96e48d75ef1b63808f23d8ab4f11314c2abc749,50306.46000000001,11,1,4524.1183,5031.0128,4527.7378,4573.314545454546,8.99312%,10.00073%,9.00031%,9.09091%
2020-45 & 2020-46,hx8f3aa15cf5d36b99548ea292dfce34a1d955aa19,1007.8296,11,1,7.8296,100.0,100.0,91.62087272727273,0.77688%,9.92231%,9.92231%,9.09091%
2020-45 & 2020-46,hx816975ca7954845513f88dbb8104bcdb5e3adaed,17272.569600000006,11,1,170.2738,10318.2928,510.8214,1570.2336000000005,0.98580%,59.73803%,2.95741%,9.09091%
2020-45 & 2020-46,hx7e6a0d2acd3677cb45f30ccf31f31fe2a5eb344f,2000.1901,11,1,20.0279,400.0,200.0,181.83546363636364,1.00130%,19.99810%,9.99905%,9.09091%
2020-45 & 2020-46,hxfa248bd6e8c1257c55b5c7923eb0e2ce54e3fbcc,5715.1839,11,1,0.0,695.8234,545.1209,476.265325,0.00000%,12.17500%,9.53812%,8.33333%
2020-45 & 2020-46,hx9b16229a08c1e7fc03ce5d66266948eccbb8a2f1,1287.2506999999998,11,1,39.0076,169.0329,130.0253,117.02279090909089,3.03030%,13.13131%,10.10101%,9.09091%
2020-45 & 2020-46,hxec7582d72a3fdf7dca0674e2b6c073362b73e3ee,8963.656299999997,11,1,249.99999999999818,1230.2119,1000.0,814.8778454545452,2.78904%,13.72444%,11.15616%,9.09091%
2020-45 & 2020-46,hx974d7288f3e758ef0d8f22ddee1477d69c1a902c,125254.39050000002,11,1,7064.559500000001,15820.3159,10699.770499999999,11386.762772727276,5.64017%,12.63055%,8.54243%,9.09091%
2020-45 & 2020-46,hxebcd91115a92f651c8370d0bdccdcef3c9ceede2,1075.2027999999998,11,1,81.63159999999999,115.9983,105.36349999999999,97.74570909090907,7.59220%,10.78850%,9.79941%,9.09091%
2020-45 & 2020-46,hx9b469d8212f7be0bdae3588f4d5b28e447a46530,29022.717600000004,11,1,221.8951,16579.788900000003,509.65899999999976,2638.428872727273,0.76456%,57.12693%,1.75607%,9.09091%
2020-45 & 2020-46,hxfc7e2968bdb38ddfea72701660f981868cb1c614,60755.87789999999,11,1,371.98800000000006,7288.9998,6130.140899999999,5523.261627272726,0.61227%,11.99719%,10.08979%,9.09091%
2020-45 & 2020-46,hxdb4cecb5d86ca0cadbcbe6adad83eb5cd28154a3,11553.527900000003,11,1,100.2587,9023.2904,100.2587,1050.3207181818184,0.86778%,78.09987%,0.86778%,9.09091%
2020-45 & 2020-46,hx0175d6c7f6cbeb7a3f22198b2d45e76219f3920e,14405.989099999999,11,1,1009.3339,2047.5063,1297.7151,1309.6353727272726,7.00635%,14.21288%,9.00816%,9.09091%
2020-45 & 2020-46,hx3b77925ce37c0d1d983b3966c2ce6eef49820d44,2657.5489000000002,11,1,100.0,261.6941,260.7779,241.59535454545457,3.76287%,9.84720%,9.81272%,9.09091%
2020-45 & 2020-46,hx16db7e5e3ad6bed68ccec9c0da3c477d8acb67e9,54519.8093,11,1,478.77399999999994,7823.7872,4857.2926,4956.3463,0.87817%,14.35036%,8.90923%,9.09091%
2020-45 & 2020-46,hx159190b9a5d7adf7dc438d991be9f981f0f3fd32,13799.429100000001,11,1,237.226,2135.034,1338.1527,1254.4935545454546,1.71910%,15.47190%,9.69716%,9.09091%
2020-45 & 2020-46,hx3de2860d953d0ce3827bf02b7d0837e5917774cb,29515.887,11,1,1169.0171,4137.7677,2753.0885,2683.2624545454546,3.96064%,14.01878%,9.32748%,9.09091%
2020-45 & 2020-46,hx149d3879d24e7fe5820b590f72fcae78ffbb0042,158339.50780000002,11,1,10662.9237,17884.055,14974.8163,14394.500709090911,6.73422%,11.29475%,9.45741%,9.09091%
2020-45 & 2020-46,hx3f58bdb18ffe94f86dd6619b301519219dd01fb9,23164.677200000002,11,1,0.0,2759.6573,2189.3059000000003,1930.389766666667,0.00000%,11.91321%,9.45105%,8.33333%
2020-45 & 2020-46,hx13561355865e509e32f7a27786a6763ba6b1c489,14032.376099999998,11,1,511.90829999999994,6389.325899999999,730.7128,1275.6705545454543,3.64805%,45.53274%,5.20733%,9.09091%
2020-45 & 2020-46,hx3f785809d76dbdfc7f23a55caea744417b620757,4011.5149999999994,11,1,323.7798,369.1655,369.1654,364.68318181818177,8.07126%,9.20265%,9.20264%,9.09091%
2020-45 & 2020-46,hx11817efb1525bd5bfb1bc1997d9f9c25769912ff,18803.3569,11,1,200.7839,2758.2115,1718.1876999999997,1709.3960818181818,1.06781%,14.66872%,9.13766%,9.09091%
2020-45 & 2020-46,hx0a636c959e4b43238340a653294cb64bc124be70,154.438,11,1,13.709799999999998,15.937800000000001,13.871000000000002,14.03981818181818,8.87722%,10.31987%,8.98160%,9.09091%
2020-45 & 2020-46,hx09af69310d44f5b75fd966e4df4ae4a659797fed,111995.65729999998,11,1,50.0,33837.3155,113.2346,10181.423390909089,0.04464%,30.21306%,0.10111%,9.09091%
2020-45 & 2020-46,hx096edfdfcca9228b0dfc9eb1ab0667d862de6e1d,3403.1915,11,1,81.838,340.0,325.3535,309.3810454545455,2.40474%,9.99062%,9.56025%,9.09091%
2020-45 & 2020-46,hx03715c57dd9f82177e8a8cdd37abc58c2adac56a,10126.201400000002,11,1,200.8255,1689.5319,893.4417000000001,920.5637636363638,1.98323%,16.68476%,8.82307%,9.09091%
2020-45 & 2020-46,hxb35a4afe1769f793c05d951b3ed58cc1aa7753e5,4913.8681,11,1,98.9844,514.893,469.2916,446.7152818181818,2.01439%,10.47836%,9.55035%,9.09091%
2020-45 & 2020-46,hx42d097e451e4fe6bd1f1796027d583fdad537538,732428.1174999999,11,1,10000.0,114691.5662,89099.5403,66584.37431818181,1.36532%,15.65909%,12.16495%,9.09091%
2020-45 & 2020-46,hx436a2854834409a3e2ff8285c54ac2a1433c8d77,107221.0669315815,11,1,1005.3392105610045,43466.58888415752,4936.296472369,9747.369721052864,0.93763%,40.53922%,4.60385%,9.09091%
2020-45 & 2020-46,hx446fe84cf9e0775cf4f6156f2679c70de2d7ae06,10421.922900000001,11,1,10.0,1042.2346,1042.2345,947.4475363636365,0.09595%,10.00041%,10.00041%,9.09091%
2020-45 & 2020-46,hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,4976.9999999995,11,1,0.0,452.45454545450013,452.4545454545,414.74999999995833,0.00000%,9.09091%,9.09091%,8.33333%
2020-45 & 2020-46,hxb086af9c9eac9b18e7d5a806add8fec04215af56,13086.688200000002,11,1,122.8569,2620.5136,1182.3611000000017,1189.6989272727276,0.93879%,20.02427%,9.03484%,9.09091%
2020-45 & 2020-46,hxc80f843578020a39efd76c89d4c49efc43526cd3,417.2846,11,1,17.2846,40.0,40.0,37.93496363636364,4.14216%,9.58578%,9.58578%,9.09091%
2020-45 & 2020-46,hx4b1f64fbf1522016e402a392628aa3b1c6bae0e5,56588.11129999999,11,1,2867.1125,17525.3903,3490.4707,5144.373754545453,5.06663%,30.97009%,6.16820%,9.09091%
2020-45 & 2020-46,hxb2fa9acc7862ddc717f7e1b6c8ef9f168e81e060,62033.2316,11,1,5564.549099999999,6207.7165,5586.0,5639.384690909091,8.97027%,10.00708%,9.00485%,9.09091%
2020-45 & 2020-46,hx16efd676ccb794e3fe399c45abcba85df88f31d2,1726.8397,11,1,15.0076,752.6613,52.1711,156.98542727272726,0.86908%,43.58605%,3.02119%,9.09091%
2020-45 & 2020-46,hxbb49971914b61e62bb341f6f32dce55671438dbd,153541.1072,11,1,85.701,106293.1394,2784.1759,13958.282472727273,0.05582%,69.22781%,1.81331%,9.09091%
2020-45 & 2020-46,hx26bd88215e9e5c09ccdde038d316bcad5095b30d,10889.0852,11,1,763.5763,1215.0610000000001,1012.5509,989.9168363636363,7.01231%,11.15852%,9.29877%,9.09091%
2020-45 & 2020-46,hx2471ee5bbaeb409021d77b67a5bf2a47ebc53ab5,10215.6392,11,1,191.2012,2846.6131,583.6703,928.6944727272727,1.87165%,27.86525%,5.71350%,9.09091%
2020-45 & 2020-46,hx2c3587cf4b4e35346708d3f2ea2abea567f6d77f,10911.013099999998,11,1,911.0131,1000.0,1000.0,991.9102818181817,8.34948%,9.16505%,9.16505%,9.09091%
2020-45 & 2020-46,hx23e23494609de5cc1b6b65ff8d94b365eccda8af,2339.8613,11,1,200.0,260.1349,200.00000000000003,212.71466363636364,8.54752%,11.11754%,8.54752%,9.09091%
2020-45 & 2020-46,hx2c96c461d907b088adddaf7a32d51b953b9543e3,141543.77060000002,11,1,6831.1651,36820.1375,8912.6034,12867.61550909091,4.82619%,26.01325%,6.29671%,9.09091%
2020-45 & 2020-46,hx2d6ceeb021b38d12152a74877e18d8ec353393b1,34630.0,11,1,3098.0,3603.0,3098.0,3148.181818181818,8.94600%,10.40427%,8.94600%,9.09091%
2020-45 & 2020-46,hx20a35d46020b4bd909cbec3cf63604a3bf57dd56,51482.2375,11,1,2643.7637,8382.3871,3914.3686,4680.203409090909,5.13529%,16.28210%,7.60334%,9.09091%
2020-45 & 2020-46,hxb79fbcc271c215638ed8f4bf8cf9e9cfa74433c5,907451.9201,11,1,4458.5424,342673.0,50000.0,82495.6291,0.49133%,37.76211%,5.50993%,9.09091%
2020-45 & 2020-46,hx1d86a35e84216a1eb0724a9209b7dfae1a98fc0a,12522.0,11,1,175.6219,2978.0280000000002,1092.9996,1138.3636363636363,1.40251%,23.78237%,8.72863%,9.09091%
2020-45 & 2020-46,hx1d5f9d9ba461557f371e349854de83b66a4101c0,12500.0,11,1,359.0197,2064.9948,1216.3852,1136.3636363636363,2.87216%,16.51996%,9.73108%,9.09091%
2020-45 & 2020-46,hx2f2fb02002ff7dd66b11f973b313810ec651db98,5882.945900000001,11,1,3.9821,1846.8814000000002,334.7552,534.8132636363637,0.06769%,31.39382%,5.69026%,9.09091%
2020-45 & 2020-46,hx1d25ab4bf703b9f738f475f6cb9bad12b896e2ab,39344.7531,11,1,330.0035,7278.7759,2839.1853,3576.7957363636365,0.83875%,18.49999%,7.21617%,9.09091%
2020-45 & 2020-46,hx1ce6488ac66bf734e178eef733f2432682b532d8,6630.260299999999,11,1,31.3084,1300.1072,670.9639,602.7509363636362,0.47220%,19.60869%,10.11972%,9.09091%
2020-45 & 2020-46,hx1cc7b5fb2ddeb78cbac7e839837daf4e9fdc1009,9584.793300000001,11,1,346.6793,3430.5532000000003,616.0,871.3448454545455,3.61697%,35.79162%,6.42685%,9.09091%
2020-45 & 2020-46,hx38c59ac4e581ff1f421f91295dc18987dcc6f7da,27.144599999999997,11,1,0.7262999291940045,5.074024176052519,2.2143766984833104,2.467690909090909,2.67567%,18.69257%,8.15771%,9.09091%
2020-45 & 2020-46,hx1c9c39cc6ab3efd31048ea115119122fbc1d65a5,84.7621,11,1,3.1784999999999997,16.290799999999997,5.519,7.705645454545455,3.74991%,19.21944%,6.51116%,9.09091%
2020-45 & 2020-46,hxbc6d22592d5e18ae00f2e64c7e541317889bf69b,3169.0851000000002,11,1,255.5267,400.0,261.0068,288.0986454545455,8.06311%,12.62194%,8.23603%,9.09091%
2020-45 & 2020-46,hx1c54d238842563de32cd0ad069a84c9914b7a3ad,6807.875800000001,11,1,100.0597,1735.9659,538.748,618.8978000000001,1.46976%,25.49938%,7.91360%,9.09091%
2020-45 & 2020-46,hxbcb195d6a4321d9480128204c6cf93516eb123cf,590.1802,11,1,19.3278,106.1417,50.0,53.65274545454545,3.27490%,17.98463%,8.47199%,9.09091%
2020-45 & 2020-46,hxb74fd8df615edb4894923e72ac0e1468497e0c30,1501.3703,11,1,53.4551,271.5285,144.28629999999998,136.4882090909091,3.56042%,18.08538%,9.61031%,9.09091%
2020-45 & 2020-46,hxbed4d4c23ce16a4ecd3f5a44fddba1bf7712bdff,14224.4262,11,1,313.43690000000004,1655.1473,1345.5856,1293.1296545454545,2.20351%,11.63595%,9.45968%,9.09091%
2020-45 & 2020-46,hx311d3b806221a6764f93dbc3030bf48ea26bb7e9,10005.3718,11,1,5.3718,1000.0000000000001,1000.0,909.5792545454547,0.05369%,9.99463%,9.99463%,9.09091%
2020-45 & 2020-46,hx31353603fb6a7943652efa55ea833aa3b549e35f,928.9999999995001,11,1,84.45454545449999,84.45454545450005,84.4545454545,84.4545454545,9.09091%,9.09091%,9.09091%,9.09091%
