IRC Token,Amount,No. of Transactions
IWIN,90070.1286,8040
sICX,7569035.967436178,5918
bnUSD,5989294.060473899,5758
METX,9136078.021992745,3742
BALN,960932.2043994302,2363
OMM,3011809.3240107903,1989
GBET,1849236.9700984624,1421
IUSDC,1910047.133075,1264
USDS,979547.1568926014,877
CFT,9620020.187105231,453
oICX,913833.3282002895,282
IAM,32678.098694679655,163
obnUSD,628811.3709192463,141
oIUSDC,294669.973098,121
oUSDS,238125.60987813066,110
dIUSDC,287239.911869,109
oOMM,36242.02678985103,95
TAP,1510849.114415149,62
dUSDS,151757.56190033015,60
UP,12.319499683184361,49
dbnUSD,68030.45669553384,48
IUSDT,47631.860646,41
LDX,38116.22565625,38
oBALN,1078.917444596489,18
OWT,280.5,15
dBALN,27.20165384704664,4
IETH,0.1099,2
CODA,100.0,1
HGC,10000.0,1
ICXIOU,100.196,1
