IRC Token,Amount,No. of Transactions
sICX,6253166.356480706,5643
bnUSD,3640394.1814879924,4530
BALN,455406.34706213954,2616
IWIN,4043.3246,2539
LDX,1360723.4814118533,2167
OMM,3073330.621489419,1630
METX,2555701.3693802506,1166
GBET,474706.3347898701,977
IUSDC,2060994.391243,924
CFT,5549877.680209968,842
USDS,1280186.2905473416,672
FIN,18318.42042960861,499
finICX,609849.4952660081,228
oICX,347342.0262830862,158
obnUSD,508903.9253852111,104
oOMM,40966.47354939596,102
oIUSDC,666966.39087,97
oUSDS,422223.4036971432,79
TAP,680443.2159801834,78
dbnUSD,104621.35296603567,52
UP,4.889515113502856,45
dIUSDC,175778.679951,43
IUSDT,4081.123733,41
dUSDS,167707.09211408376,32
IAM,238.80208367636536,16
oBALN,541.4410932828191,11
dBALN,35.701134931473504,3
HGC,20000.0,2
SEED,6.720857,1
