IRC Token,Amount,No. of Transactions
OMM,3142955.411891956,16672
IUSDC,4792334.105686,10059
sICX,7690780.265650555,9883
bnUSD,4343055.378189412,6709
BALN,616888.4520782871,3618
USDS,2217215.9269011933,3114
oIUSDC,969233.9379349999,2684
IWIN,120990.68920000001,1191
PGT,3000.0,1069
METX,374886.55176028167,820
oICX,1689861.4762016553,695
oUSDS,713889.3507292195,686
dIUSDC,599142.724483,318
dUSDS,412937.41866090224,250
TAP,386043.08369871293,88
UP,1.509476896009822,63
SEED,204.80704199999997,33
LDX,3500.0,18
ACT,900.0,9
HGC,184750.0,8
IAM,529.0205314486518,3
EPX,3.25,2
