IRC Token,Amount,No. of Transactions
bnUSD,6592498.911170048,7512
sICX,7324980.707309603,6906
BALN,778509.8747425298,3307
OMM,5541723.8120461,2404
IUSDC,2606518.723989,2064
IWIN,405436.0452,1587
METX,1519521.634017887,1306
USDS,809204.3978427853,1220
GBET,398613.0,377
oICX,954842.2278205116,306
dIUSDC,557507.817182,229
oIUSDC,261237.615556,183
obnUSD,639646.4532955658,123
CFT,348227.09546265815,77
dbnUSD,289874.6985460229,70
oUSDS,89820.7853625897,57
IUSDT,18728.566943,46
dUSDS,124869.74783038023,38
TAP,763263.831769376,36
UP,2.2600361943121223,21
LDX,8819.0,15
ACT,300.0,3
HGC,136000.0,3
SEED,152.262278,3
ICXIOU,3844.89825,2
IAM,1503.561860898831,1
