IRC Token,Amount,No. of Transactions
OMM,3129688.9601691184,10711
sICX,9160622.49559155,10156
bnUSD,7036661.803419379,8872
IUSDC,3272192.788805,7621
BALN,750717.8118385718,4831
USDS,6046051.229687986,3544
oIUSDC,380396.482798,2676
CFT,6853538.925951499,1975
METX,260488.59921549427,804
PGT,3000.0,681
oUSDS,1931227.5297706733,575
oICX,1684567.598872186,555
dIUSDC,559205.270856,254
dUSDS,1400028.6018887206,249
UP,27.297214336135507,93
TAP,1225214.0063057572,74
SEED,716.452973,46
ICXIOU,17776.34378998,23
EPX,2891.508,15
LDX,1888.0,12
ACT,300.0,2
HGC,500.0,1
