IRC Token,Amount,No. of Transactions
sICX,8341681.903156605,12411
bnUSD,9826634.78302214,11712
OMM,2724179.7397290124,9449
IUSDC,2788724.777237,6850
BALN,835652.4661098904,4162
USDS,2708278.245198138,2633
oIUSDC,407933.755124,2490
CFT,1184219.7159096785,1115
METX,1123065.9199075175,817
PGT,3000.0,671
oICX,1137945.1164790476,397
oUSDS,866049.3365318087,313
dIUSDC,297757.612525,206
UP,8.535888582944128,89
dUSDS,350282.7213877139,79
TAP,1617283.1240659887,58
SEED,749.85757,46
LDX,5750.0,13
ACT,400.0,4
EPX,101.91,4
HGC,8250.0,2
ICXIOU,8.97969,1
uMETX,0.0259015649321223,1
