IRC Token,Amount,No. of Transactions
sICX,10071176.006008893,9757
OMM,4076209.928510544,8911
bnUSD,5507381.809966678,8532
IUSDC,13170033.220066,4942
BALN,725937.4778482977,3785
USDS,2377238.5608579777,2561
METX,245352.4869760619,804
PGT,3000.0,777
oICX,1541078.1438006347,590
oUSDS,842666.7645059193,548
dIUSDC,1404250.567073,332
oIUSDC,4003586.798027,232
dUSDS,490240.0163530625,160
IWIN,61.3314,78
TAP,310482.0330554001,51
UP,0.7489017001504749,34
LDX,3040.0,18
SEED,19.670169,17
ICXIOU,3922.1245538000003,7
HGC,12250.0,4
IAM,412.0,2
EPX,1.3,1
