IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,9929.0,857024.0672400661,896745.6499645283,3317.0,1.017435110660642,912380.5096061092
sICX,12123.0,923222.7917900225,5798622.35312559,2233.0,0.3613158249141638,2095134.018885282
BST,342.0,535.1747425885683,503.40073460464447,686.0,1.1219869448829036,564.8090522708744
FRMD,936.0,19385.41484340563,234124.46807371688,675.0,0.014547826580113004,3406.002159697637
BALN,16424.0,297053.2514405808,466973.79073250265,435.0,0.10189897249375018,47584.149457153544
GBET,2898.0,9995.346517356164,899541.1734912938,388.0,0.004930451138082999,4435.143802592665
$unknown,,,7700.884429487616,329.0,,
USDS,5445.0,5686.98682691188,4477.6112345477895,249.0,0.9368808578951229,4194.988254743973
IUSDC,5597.0,41568.85263665862,7355.028895,212.0,1.01340144175911,7453.596886372914
BTCB,158.0,18386.203481031163,0.46216482708640816,211.0,36762.45341558032,16990.312926083814
OMM,13900.0,21753.87362831406,1724448.9440197404,201.0,0.0029641992171453965,5111.6102098705205
CROWN,1245.0,13418.410715768014,420869.63854426856,171.0,0.0042361754386753825,1782.8776256854164
CFT,19387.0,59532.10033214616,3006676.187540387,139.0,0.003727410463281967,11207.116281138771
ETH,140.0,4860.43093042478,6.621499696801415,126.0,2244.891024467524,14864.545237863927
CODE,252.0,20.617703385898967,547017.8443723564,122.0,9.843268482897168e-06,5.384443507092764
FIN,2264.0,13849.426964934972,29648.232484556578,101.0,0.09095839384322124,2696.755607085683
VOID,158.0,493.6777254689372,28074.12738656401,17.0,0.011528651167729151,323.6568214780881
METX,11418.0,1143.192203628087,1956371.6323112338,14.0,5.470953777224465e-05,107.03218771447936
XCROWN,1245.0,13418.410715768014,138628.76424507148,12.0,0.0042361754386753825,587.2557661888918
IUSDT,3481.0,14.714598910330515,52.73547,10.0,0.33993199659432577,17.92647360844017
BUSD,66.0,6.141043990200188,15370.5426,7.0,1.6036784835438125,24649.40844801357
finMICX,12123.0,923222.7917900225,129907.9116196957,7.0,0.3613158249141638,46937.78424974664
dUSDS,5445.0,5686.98682691188,426.1039740462292,6.0,0.9368808578951229,399.2086567569524
IAM,4064.0,13.384992811665818,135.20905982963012,6.0,0.018673564347486862,2.5248350790917993
TAP,9234.0,11.066552159406305,14318.298974720903,5.0,0.00048466863568825437,6.939630429454511
UP,,,0.14818696419920113,4.0,0.8590809492459945,0.12730459787013193
oICX,12123.0,923222.7917900225,1217.6301775525517,4.0,0.3613158249141638,439.94905204277995
oUSDS,5445.0,5686.98682691188,390.23012714915905,4.0,0.9368808578951229,365.599136300027
dIUSDC,5597.0,41568.85263665862,8.383650999999999,2.0,1.01340144175911,8.496004010605203
oIUSDC,5597.0,41568.85263665862,2.382262,2.0,1.01340144175911,2.414187745447941
oOMM,13900.0,21753.87362831406,9022.878410252782,2.0,0.0029641992171453965,26.7456091200694
obnUSD,9929.0,857024.0672400661,60.94856793667311,2.0,1.017435110660642,62.01121296325667
finOMM,13900.0,21753.87362831406,0.21768294098313692,1.0,0.0029641992171453965,0.000645255603248122
ICX,,,,,0.2953,
