address,name,alpha-3,city,logo,country,sub-region
hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,Iconoscope,USA,Los Angeles,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconoscope.png,United States of America,Northern America
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,SWE,Stockholm,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Sweden.png,Sweden,Northern Europe
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/The Iconist.png,"Korea, Republic of",Eastern Asia
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,USA,Oregon,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Orangebloc.png,United States of America,Northern America
hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,StakingTeam,ITA,Milan,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/StakingTeam.png,Italy,Southern Europe
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Hourglass.png,Singapore,South-eastern Asia
hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,Piconbello { You Pick We Build },GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Piconbello { You Pick We Build }.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hx9fa9d224306b0722099d30471b3c2306421aead7,Espanicon,VEN,Caracas,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Espanicon.jpg,Venezuela (Bolivarian Republic of),Latin America and the Caribbean
hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,DEMOS,JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DEMOS.png,Japan,Eastern Asia
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,USA,Berkeley,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/blockchain_at_berkeley.png,United States of America,Northern America
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONTROL.png,"Korea, Republic of",Eastern Asia
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,USA,Virginia,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Cardinals_logo.png,United States of America,Northern America
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Signal9.png,"Korea, Republic of",Eastern Asia
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,EST,Tallinn,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Forge.png,Estonia,Northern Europe
hx3ec5c0c906e857de231a7ae16e49ab92c5708699,ICX_Stratos,ZAF,Johannesburg,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Stratos.jpg,South Africa,Sub-Saharan Africa
hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,Silicon Valley ICON,USA,San Jose,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/SilliconValleyIcon.jpg,United States of America,Northern America
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,KEN,Nairobi,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/iconnect_global.jpg,Kenya,Sub-Saharan Africa
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,NLD,Amsterdam,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Newroad.png,Netherlands,Western Europe
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Icon-4-Business,USA,Chattanooga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon-4-Business.png,United States of America,Northern America
hx040b667627bbd02619e89439fab48b053e71c666,ICX Australia,AUS,Adelaide,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Australia.png,Australia,Australia and New Zealand
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,CAN,Montreal,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/POCKET FIGMENT.png,Canada,Northern America
hx50040d39a04b7bc9197e9784779f07f9a6887811,ICON Labs,USA,Houston,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Labs.png,United States of America,Northern America
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,USA,Icon,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Spark.png,United States of America,Northern America
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONSG.png,Singapore,South-eastern Asia
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos,BGR,Varna,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Midos.jpg,Bulgaria,Eastern Europe
hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,Alice,RUS,Moscow,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Alice.png,Russian Federation,Eastern Europe
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,MLT,Valletta,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Malta.png,Malta,Southern Europe
hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,Transcranial Solutions,AUS,Melbourne,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Transcranial_Solutions_round.png,Australia,Australia and New Zealand
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,OneLife 9to5,SVN,Ljubljana,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/OneLife 9to5.png,Slovenia,Southern Europe
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,NLD,Heerlen,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconic Innovation.jpg,Netherlands,Western Europe
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,RUS,Saint-Petersburg,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Russia.jpg,Russian Federation,Eastern Europe
hx135d9c1b6ad2b7750f153d1649b676f8625e470c,ICON Guide Star,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Guide Star.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,USA,Fresno,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Blockheads Development.png,United States of America,Northern America
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON4Education.png,United States of America,Northern America
hxf6672e670d2b5816061da22231f3a90f0b5955b5,ICON Chicago,USA,Chicago,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Chicago.jpg,United States of America,Northern America
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,GRC,Thessaloniki,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HermesGreece.jpg,Greece,Southern Europe
hx9a20bc2de732aad6de56dcaabb800c24aab86c28,ICX Belgium,BEL,Mechelen,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX Belgium.jpg,Belgium,Western Europe
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,USA,Albuquerque,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Foundry Box Media.png,United States of America,Northern America
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,ESP,Malaga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HOLA ICON.png,Spain,Southern Europe
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,CAN,Sudbury,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Progression.jpg,Canada,Northern America
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON-NYC,USA,New York,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON-NYC.jpg,United States of America,Northern America
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/unblock256.png,Japan,Eastern Asia
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DRAICON BALL.png,"Korea, Republic of",Eastern Asia
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,USA,Brooklyn,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON USA.jpg,United States of America,Northern America
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,CHN,Beijing,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Wetez.png,China,Eastern Asia
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,THA,Phuket,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Thailand.jpg,Thailand,South-eastern Asia
hx18a807c44b0efdc2e02ea503d7bc011cc4242318,RHYTHM (Australia),AUS,Brisbane,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/RHYTHM (Australia).png,Australia,Australia and New Zealand
hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,ICON Oasis,USA,San Diego,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Oasis.jpg,United States of America,Northern America
hx34f817bad3d0554da6c6642b06056bda32b06396,GagarinCrypto,RUS,Moscow,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/GagarinCrypto.png,Russian Federation,Eastern Europe
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Econ.png,United States of America,Northern America
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Plan-P.jpg,"Korea, Republic of",Eastern Asia
hx02645148d0887cd1daf345e3eabf8871780398e5,ICONLEO,LVA,Riga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONLEO.png,Latvia,Northern Europe
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,NLD,Amsterdam,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Iconserve.png,Netherlands,Western Europe
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,CAN,Vancouver,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Sunrise.png,Canada,Northern America
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,NLD,Dronten,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/icon-node-NL.png,Netherlands,Western Europe
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/InfStones.png,United States of America,Northern America
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,USA,San Juan,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Frontlines Media.png,United States of America,Northern America
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,USA,Boston,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Staked.png,United States of America,Northern America
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,AUS,Sydney,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Sicko Node.jpg,Australia,Australia and New Zealand
hx475e37c2decf56f5bf678060e3937c944921ccba,ICON London,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON London.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON BOOM.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,THA,Bangkok,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/RemICX.png,Thailand,South-eastern Asia
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,USA,New York,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HypoICON.png,United States of America,Northern America
hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,DSNC,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DSNC.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,GRD,Grenada,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONIST VOTE WISELY.png,Grenada,Latin America and the Caribbean
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX FREEZER.png,Singapore,South-eastern Asia
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DELIGHT.png,"Korea, Republic of",Eastern Asia
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/X-node.jpg,"Korea, Republic of",Eastern Asia
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,ARE,Dubai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICXmerch.png,United Arab Emirates,Western Asia
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),CAN,Toronto,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Gilga-Capital.png,Canada,Northern America
hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Yudus Lab.jpg,Singapore,South-eastern Asia
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/noris [New Node].png,United States of America,Northern America
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,SWE,Stockholm,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/PakChina.png,Sweden,Northern Europe
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/FOMO MASTERNODE.png,"Korea, Republic of",Eastern Asia
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,KOR,Seoul,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/a_block.jpg,"Korea, Republic of",Eastern Asia
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,SGP,Singapore,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Xangle.png,Singapore,South-eastern Asia
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,CHN,Beijing,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/BitCat.png,China,Eastern Asia
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,CHN,Shanghai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/nel node.png,China,Eastern Asia
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,CHE,Zurich,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/manifest-icon.png,Switzerland,Western Europe
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,CAN,Toronto,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/HASHRATE PLUS.png,Canada,Northern America
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,USA,Boston,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/FOCUS.png,United States of America,Northern America
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,USA,San Jose,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon Panda.png,United States of America,Northern America
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,JPN,Tokyo,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Azabu Research.png,Japan,Eastern Asia
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,CHN,Shanghai,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/DFG_crypto.png,China,Eastern Asia
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,GBR,London,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/neo_icon.png,United Kingdom of Great Britain and Northern Ireland,Northern Europe
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,USA,New York,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/loop57.png,United States of America,Northern America
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,CHN,Hangzhou,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Nodeasy.jpg,China,Eastern Asia
