address,block_id,datetime,rewards,date,name,alpha-3,city,logo,country,sub-region
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,19393201,2020-05-29 00:51:48,355682.91043093824,2020-05-29,ICON Foundation,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Foundation.png,Switzerland,Western Europe
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,18116942,2020-04-29 04:43:10,414025.2283147177,2020-04-29,ICON Foundation,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Foundation.png,Switzerland,Western Europe
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,16710697,2020-03-27 06:59:30,831514.0572506659,2020-03-27,ICON Foundation,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Foundation.png,Switzerland,Western Europe
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,13846160,2020-01-20 08:01:14,945583.2226042405,2020-01-20,ICON Foundation,CHE,Zug,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Foundation.png,Switzerland,Western Europe
hxfba37e91ccc13ec1dab115811f73e429cde44d48,20170260,2020-06-16 05:28:05,11840.838808381235,2020-06-16,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,19893736,2020-06-09 18:14:33,19138.424794457453,2020-06-09,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,19607750,2020-06-03 01:28:32,26011.1801251184,2020-06-03,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,19339838,2020-05-27 18:53:55,40977.986331429536,2020-05-27,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,19002632,2020-05-19 21:42:24,45501.9083416119,2020-05-19,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,18654805,2020-05-11 18:40:49,38554.36575929632,2020-05-11,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,18402284,2020-05-05 20:55:09,46065.139228138534,2020-05-05,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,18099076,2020-04-28 18:40:19,26441.65005224438,2020-04-28,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,17933971,2020-04-24 21:54:26,6633.534717233736,2020-04-24,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,17841703,2020-04-22 18:08:21,12970.934222691132,2020-04-22,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,17757752,2020-04-20 18:47:18,19830.205478859763,2020-04-20,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,17640370,2020-04-18 00:37:46,19491.720078964634,2020-04-18,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,17504436,2020-04-14 20:13:18,32226.76778840182,2020-04-14,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,17289796,2020-04-09 20:00:38,58247.15609909921,2020-04-09,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,16909381,2020-03-31 22:43:31,47196.084085236645,2020-03-31,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,16603553,2020-03-24 18:41:30,47177.12562129449,2020-03-24,ICX_Station,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
