address,date,rewards,name,alpha-3,city,logo,country,sub-region
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,2020-05-23,2191122.508169624,ICON Foundation,CHE,Zug,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/ICON%20Foundation.png,Switzerland,Western Europe
hxfba37e91ccc13ec1dab115811f73e429cde44d48,2020-05-22,58574.90882728169,ICX_Station,USA,San Francisco,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hxfba37e91ccc13ec1dab115811f73e429cde44d48,2020-05-23,1366512.0815608893,ICX_Station,USA,San Francisco,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/ICX_Station.png,United States of America,Northern America
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,2020-05-22,474444.2076267792,Ubik Capital,USA,Detroit,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/Ubik%20Capital.png,United States of America,Northern America
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,2020-05-23,127901.1725559004,Ubik Capital,USA,Detroit,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/Ubik%20Capital.png,United States of America,Northern America
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,2020-05-22,399147.3990203558,VELIC,SGP,Singapore,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/VELIC.png,Singapore,South-eastern Asia
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,2020-05-23,124446.89599769018,VELIC,SGP,Singapore,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/VELIC.png,Singapore,South-eastern Asia
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,2020-05-23,930375.5570932042,ICONation,FRA,Paris,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/ICONation.png,France,Western Europe
hx4a43790d44b07909d20fbcc233548fc80f7a4067,2020-05-21,49532.23467071442,RHIZOME,JPN,Tokyo,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/RHIZOME.png,Japan,Eastern Asia
hx4a43790d44b07909d20fbcc233548fc80f7a4067,2020-05-22,245303.10044202005,RHIZOME,JPN,Tokyo,https://github.com/Transcranial-Solutions/ICONProject/blob/master/vote_analysis/output/logos/RHIZOME.png,Japan,Eastern Asia
