week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-48,hxb0d886f01ca2697ce9961232a754bb3923142128,16002.11170000001,100,10,88.7016,255.08670000000006,157.7947,160.02111700000012,0.55431%,1.59408%,0.98609%,1.00000%
2020-48,hx049eec5560f8518cffce2ab74fce56ad31fc79c6,7323.8802000000005,56,5,1.6433,1071.6487,89.49414999999999,130.783575,0.02244%,14.63225%,1.22195%,1.78571%
2020-48,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,534.3735999999998,52,5,1.7234,27.5024,9.583300000000001,10.27641538461538,0.32251%,5.14666%,1.79337%,1.92308%
2020-48,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,54639.735100000005,47,4,343.533,8685.4724,463.9852,1162.547555319149,0.62872%,15.89589%,0.84917%,2.12766%
2020-48,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2210.8405999999995,42,4,19.9258,131.6602,44.2792,52.639061904761896,0.90128%,5.95521%,2.00282%,2.38095%
2020-48,hxd2fe38548f3f4a8c545112582c668913a85d4b93,82659.02949999999,41,4,27.8976,3028.3937,2000.0,2016.0738902439023,0.03375%,3.66372%,2.41958%,2.43902%
2020-48,hxaf0882e1856ba71a69408edea4c244f706ac622e,13267.694399999998,37,3,0.0,397.3499,397.3498,331.69235999999995,0.00000%,2.99487%,2.99487%,2.50000%
2020-48,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,244413.65509999997,34,3,2325.0738,10793.346599999999,7425.4996,7188.636914705881,0.95129%,4.41602%,3.03809%,2.94118%
2020-48,hx42967fdffaacf8b41362b3574d631a17c320ff49,1142.0895,33,3,34.5,38.0895,34.5,34.60877272727273,3.02078%,3.33507%,3.02078%,3.03030%
2020-48,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,6029.3573,31,3,60.3395,809.1919,120.6791,194.49539677419355,1.00076%,13.42086%,2.00153%,3.22581%
2020-48,hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,49644.8834,28,2,562.3577000000001,5166.289400000001,1691.8184500000002,1773.03155,1.13276%,10.40649%,3.40784%,3.57143%
2020-48,hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,1036.7643,26,2,20.7352,82.9412,41.47055,39.875550000000004,1.99999%,8.00001%,4.00000%,3.84615%
2020-48,hx00d85a59cfacc2a44e924f4a7892271145747c60,6321.804100000001,25,2,5.4871,3620.0000000000005,62.1616,252.87216400000005,0.08680%,57.26214%,0.98329%,4.00000%
2020-48,hxf159b2029f3d6e8823157033ada47b76e8903a4f,630.4624975297266,25,2,1.371961950484824,64.93149732357978,20.76282793422435,25.218499901189066,0.21761%,10.29903%,3.29327%,4.00000%
2020-48,hx7301714168f31c464fd766bad237b9a99c14824c,3029.9643,25,2,103.9943,134.3819,134.3819,121.198572,3.43220%,4.43510%,4.43510%,4.00000%
2020-48,hxcaf3a1285478520ad520d34d470aed54d49c4774,23228.851799999997,24,2,301.7483,3567.7801,845.68175,967.8688249999999,1.29902%,15.35926%,3.64065%,4.16667%
2020-48,hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,7391.394288200524,23,2,201.13477037678447,597.7126056262874,257.7402326182276,321.36496905219667,2.72120%,8.08660%,3.48703%,4.34783%
2020-48,hx6aee4d81a36e730ef217616542ed7c654829ead2,2999.0093,23,2,59.9801,180.2131,120.1421,130.39170869565217,2.00000%,6.00909%,4.00606%,4.34783%
2020-48,hx171a92e51f8f199d509c61699897bdc93f265761,2529.044,23,2,50.5808,379.3566,75.8713,109.95843478260869,2.00000%,15.00000%,3.00000%,4.34783%
2020-48,hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,478.04330000000004,23,2,6.2176,86.089,20.0,20.784491304347828,1.30064%,18.00862%,4.18372%,4.34783%
2020-48,hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,242.211,23,2,2.3361,29.8749,10.0,10.530913043478261,0.96449%,12.33425%,4.12863%,4.34783%
2020-48,hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,10116.185300000001,23,2,196.18959999999998,810.0657,392.2957,439.8341434782609,1.93936%,8.00762%,3.87790%,4.34783%
2020-48,hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,38282.97780000001,22,2,745.6016,3807.4334,1864.0039,1740.135354545455,1.94761%,9.94550%,4.86901%,4.54545%
2020-48,hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,1017.9877,22,2,45.9877,49.0,46.0,46.27216818181818,4.51751%,4.81342%,4.51872%,4.54545%
2020-48,hx4b3aec7d9d401557939d392e03721025eee2a6a7,166165.9652,22,2,3325.4797,13034.034199999998,3623.4086000000007,7552.998418181818,2.00130%,7.84399%,2.18060%,4.54545%
2020-48,hx349502ce9e2e1f290769bfa4d2a878a0cfb0050f,4349.36,22,2,197.0,212.35999999999993,197.0,197.6981818181818,4.52940%,4.88256%,4.52940%,4.54545%
2020-48,hxece32238259e951b9931aee279d0d81e43a26990,999.1462,22,2,0.0,50.0,50.0,43.441139130434784,0.00000%,5.00427%,5.00427%,4.34783%
2020-48,hx77035912d806f04dad1a0d33ba6014effcc7fbc0,20014.0,21,2,14.0,1000.0,1000.0,953.047619047619,0.06995%,4.99650%,4.99650%,4.76190%
2020-48,hxd8586c788a27ae85153bd4f3dbd7dd18e61e4994,4983.6643,21,2,48.8432,835.1339,98.3317,237.31734761904764,0.98007%,16.75743%,1.97308%,4.76190%
2020-48,hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,79733.09890000001,21,2,2209.716100000002,6965.110800000002,3724.4178,3796.814233333334,2.77139%,8.73553%,4.67111%,4.76190%
2020-48,hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,220.359,21,2,10.0,15.359000000000002,10.0,10.493285714285715,4.53805%,6.96999%,4.53805%,4.76190%
2020-48,hx624cc71bdd83371ed6ed32ba06c705e8d586244c,32738.9557,21,2,10.0,25764.6921,56.8865,1558.9978904761904,0.03054%,78.69735%,0.17376%,4.76190%
2020-48,hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,10106.975499999999,21,2,122.64909999999962,1080.9521000000002,415.74450000000013,481.28454761904754,1.21351%,10.69511%,4.11344%,4.76190%
2020-48,hx3c117f6c88806a9a37f5602ab884568d71138239,8664.3614,21,2,350.8427,524.2645000000001,350.8427,412.5886380952381,4.04926%,6.05082%,4.04926%,4.76190%
2020-48,hxac10537896b44850e68db5d5ef50d57af82953da,2755.1885,21,2,20.0,300.0,100.0,131.19945238095238,0.72590%,10.88855%,3.62952%,4.76190%
2020-48,hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2283.9844000000007,21,2,6.5012,627.0958,79.4095,108.76116190476193,0.28464%,27.45622%,3.47680%,4.76190%
2020-48,hx18e6ff393f3e2d47649494b0708141e87d46d98f,88.10000000000001,20,2,4.405,4.405,4.405,4.405,5.00000%,5.00000%,5.00000%,5.00000%
2020-48,hx1cd1e371a8f885f68799aa837e287c5c442e9adb,49999.999999999985,20,2,200.0,9221.8106,2222.0705000000003,2499.999999999999,0.40000%,18.44362%,4.44414%,5.00000%
2020-48,hx23c7091c5c63676d0667653d2c1a0791cf9236d2,884.3240000000003,20,2,44.2,44.523999999999994,44.2,44.216200000000015,4.99817%,5.03481%,4.99817%,5.00000%
2020-48,hxa745e00938fb20c9b55406d21d2fa175d248ff9c,3095.8172,20,2,18.3565,400.0,80.0,154.79086,0.59295%,12.92066%,2.58413%,5.00000%
2020-48,hx913399911d719b0ae91071c4c9017f0f1e8ca8f0,997.9848000000002,20,2,9.9898,108.8884,49.94925,49.899240000000006,1.00100%,10.91083%,5.00501%,5.00000%
2020-48,hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,50395.5172,20,2,105.4244,9413.5175,1724.45485,2519.77586,0.20919%,18.67928%,3.42184%,5.00000%
